n,n0,m_eff,alpha,method,n_samples,diverged,sigma_true,ks_D,ks_D_minus_dkw,dkw_eps_95,mean_Z,var_Z,skew_Z,excess_kurt_Z,coverage_95,q025_error,q975_error
75000,6028,68972,0.07302967433402215,single_alpha,10000,0,1.6538687545395099,0.17999149539320486,0.16641048023579866,0.013581015157406196,0.4553214452429718,1.113256173653351,-0.01659185243200336,-0.05463013122431093,0.9117,0.35332969048992924,0.5482780007115156
75000,6028,68972,0.07302967433402215,single_2alpha,10000,0,1.6538687545395099,0.35358891332000264,0.34000789816259647,0.013581015157406196,0.9313591692532321,1.121648817176913,-0.014108847020916516,-0.053755810865012243,0.8306,0.8125328749245078,1.0306791320949773
100000,7322,92678,0.06324555320336758,RR,10000,0,1.6538687545395099,0.019936591707892026,0.0063555765504858305,0.013581015157406196,-0.0032461140682444665,1.1034367088401997,0.04062213423167911,-0.011844678522888952,0.9411,-0.048613931899212925,0.06640166949476356
100000,7322,92678,0.06324555320336758,single_alpha,10000,0,1.6538687545395099,0.18540678910001446,0.17182577394260826,0.013581015157406196,0.4733551633903634,1.106600317045442,0.038142670824109735,-0.01630698925602969,0.913,0.4156158507251193,0.5588575379933478
100000,7322,92678,0.06324555320336758,single_2alpha,10000,0,1.6538687545395099,0.3513968625771225,0.3378158474197163,0.013581015157406196,0.9499564408489714,1.1147455211740196,0.035575693007190254,-0.020767246387612293,0.8236,0.8731868836279366,1.0386612126981336
150000,9611,140389,0.051639777949432225,RR,10000,0,1.6538687545395099,0.010692648828775464,0.0,0.013581015157406196,-0.012667663151023368,1.051401498534713,-0.016315670003352118,0.031572849793848334,0.9455,-0.05442253970575983,0.014597980945464606
150000,9611,140389,0.051639777949432225,single_alpha,10000,0,1.6538687545395099,0.18235056652286896,0.16876955136546276,0.013581015157406196,0.46372954059617766,1.0534639394439662,-0.015276899852090488,0.033803206237017935,0.9175,0.4208190222456969,0.5039404372779894
150000,9611,140389,0.051639777949432225,single_2alpha,10000,0,1.6538687545395099,0.35841133204005554,0.34483031688264937,0.013581015157406196,0.9401267443433786,1.0594740094373813,-0.013898746111073668,0.03589121198731737,0.8346,0.8770951955861646,0.9902782169026914
200000,11640,188360,0.044721359549995794,RR,10000,0,1.6538687545395099,0.013499391616191292,0.0,0.013581015157406196,-0.0015778596898857657,1.0790594889008878,-0.010496695503169359,-0.02172359223483733,0.9428,-0.07776994055820596,0.03914652324440615
200000,11640,188360,0.044721359549995794,single_alpha,10000,0,1.6538687545395099,0.1881106957048989,0.1745296805474927,0.013581015157406196,0.4749196028093391,1.0791783983674899,-0.010957896998016201,-0.020648966604841945,0.9153,0.3992575834005567,0.5180710446115668
200000,11640,188360,0.044721359549995794,single_2alpha,10000,0,1.6538687545395099,0.36265396957073454,0.34907295441332836,0.013581015157406196,0.951417065308564,1.0827133373472335,-0.011250743859710083,-0.019175728585206997,0.8294,0.8703474909437912,1.0007169516823815
300000,15219,284781,0.03651483716701107,RR,10000,0,1.6538687545395099,0.012004244937329211,0.0,0.013581015157406196,0.006198679324580351,1.0398252787514595,0.00372715894579246,-0.04439084534364168,0.9473,-0.02922084028553673,0.03255534113169167
300000,15219,284781,0.03651483716701107,single_alpha,10000,0,1.6538687545395099,0.1877861762889202,0.174205161131514,0.013581015157406196,0.48234587906041104,1.0408640426570968,0.002427321659453705,-0.04578838690699305,0.9168,0.4563918874300039,0.5070646943611195
300000,15219,284781,0.03651483716701107,single_2alpha,10000,0,1.6538687545395099,0.3621810237553913,0.3486000085979851,0.013581015157406196,0.9584930787962418,1.0446853266709824,0.0012652547305417384,-0.04733867790585622,0.8342,0.9249843035899259,0.9708277921878201
500000,21272,478728,0.0282842712474619,RR,10000,0,1.6538687545395099,0.012918468160240226,0.0,0.013581015157406196,0.008417449502574843,1.0683719995192011,-0.027413230052449444,0.03727769946756565,0.9415,-0.08254476651879816,0.06327887756514139
500000,21272,478728,0.0282842712474619,single_alpha,10000,0,1.6538687545395099,0.1930176679734812,0.179436652816075,0.013581015157406196,0.4845774024758837,1.070966666834723,-0.02697149959641573,0.040298316466801154,0.916,0.3908631974873771,0.5400039341570615
500000,21272,478728,0.0282842712474619,single_2alpha,10000,0,1.6538687545395099,0.36200693903763187,0.3484259238802257,0.013581015157406196,0.9607373554491929,1.0756219321643785,-0.02656990149170486,0.0432098545620887,0.8284,0.853434548820099,1.0242756096743362
750000,27688,722312,0.023094010767585032,RR,10000,0,1.6538687545395099,0.011686134523411496,0.0,0.013581015157406196,0.013404217535489815,1.0480245210837504,-0.00919300956296697,-0.012713817561505358,0.9437,-0.050735831392823894,0.05945375741692871
750000,27688,722312,0.023094010767585032,single_alpha,10000,0,1.6538687545395099,0.19433883769126464,0.18075782253385844,0.013581015157406196,0.4896982971853631,1.049163536825899,-0.009117978367476303,-0.014484539917321904,0.9143,0.42726865119662993,0.537002278434807
750000,27688,722312,0.023094010767585032,single_2alpha,10000,0,1.6538687545395099,0.3679089697536173,0.35432795459621114,0.013581015157406196,0.9659923768352368,1.0519728712789864,-0.009073881670162993,-0.016319501671303804,0.8338,0.8986290513849373,1.0121424598998128
1000000,33346,966654,0.02,RR,10000,0,1.6538687545395099,0.012936669901216336,0.0,0.013581015157406196,0.006042444579287135,1.0536961546605752,-0.012474566219626573,-0.0886225876867468,0.9475,-0.016887085112318845,0.013260648079997495
1000000,33346,966654,0.02,single_alpha,10000,0,1.6538687545395099,0.18855831141280327,0.17497729625539707,0.013581015157406196,0.48169065288846086,1.0555843464531507,-0.012686106882428137,-0.08490954044016208,0.917,0.44739514116239776,0.4881336954571127
1000000,33346,966654,0.02,single_2alpha,10000,0,1.6538687545395099,0.3625791132181601,0.34899809806075394,0.013581015157406196,0.957338861197635,1.0589507884686924,-0.01283887747086504,-0.08087102897810716,0.8296,0.9235193206284469,0.9699327199767529
