n,method,x,F_hat,Phi,F_minus_Phi
50000,RR,-1.63,0.0621,0.051550748490089365,0.010549251509910637
50000,RR,-1.6199999999999999,0.0632,0.05261613845425206,0.010583861545747947
50000,RR,-1.6099999999999999,0.0644,0.053698928148119704,0.010701071851880295
50000,RR,-1.5999999999999999,0.0656,0.054799291699558,0.010800708300442004
50000,RR,-1.59,0.0669,0.055917402519469424,0.010982597480530577
50000,RR,-1.58,0.0679,0.057053433237754185,0.010846566762245817
50000,RR,-1.57,0.0693,0.058207555638553,0.011092444361446997
50000,RR,-1.56,0.0707,0.05937994059479304,0.011320059405206959
50000,RR,-1.55,0.0716,0.06057075800205901,0.011029241997940989
50000,RR,-1.54,0.073,0.061780176711811886,0.011219823288188109
50000,RR,-1.53,0.0746,0.06300836446397844,0.011591635536021563
50000,RR,-1.52,0.0768,0.06425548781893581,0.012544512181064185
50000,RR,-1.51,0.0784,0.0655217120889165,0.012878287911083502
50000,RR,-1.5,0.0803,0.06680720126885807,0.013492798731141925
50000,RR,-1.49,0.0813,0.06811211796672544,0.013187882033274562
50000,RR,-1.48,0.0829,0.06943662333333173,0.013463376666668275
50000,RR,-1.47,0.0844,0.07078087699168552,0.013619123008314485
50000,RR,-1.46,0.0854,0.07214503696589378,0.013254963034106226
50000,RR,-1.45,0.0871,0.07352925960964836,0.013570740390351638
50000,RR,-1.44,0.0886,0.07493369953432708,0.013666300465672923
50000,RR,-1.43,0.0899,0.07635850953673913,0.013541490463260863
50000,RR,-1.42,0.0912,0.07780384052654638,0.013396159473453628
50000,RR,-1.41,0.0935,0.07926984145339239,0.014230158546607613
50000,RR,-1.4,0.0952,0.08075665923377107,0.01444334076622894
50000,RR,-1.39,0.0971,0.08226443867766892,0.01483556132233109
50000,RR,-1.38,0.0985,0.08379332241501436,0.014706677584985645
50000,RR,-1.3699999999999999,0.0997,0.08534345082196704,0.01435654917803296
50000,RR,-1.3599999999999999,0.1016,0.08691496194708509,0.014685038052914906
50000,RR,-1.3499999999999999,0.1029,0.08850799143740207,0.014392008562597938
50000,RR,-1.3399999999999999,0.1045,0.09012267246445249,0.014377327535547504
50000,RR,-1.33,0.1063,0.09175913565028077,0.01454086434971924
50000,RR,-1.32,0.1081,0.09341750899347179,0.014682491006528214
50000,RR,-1.31,0.1104,0.09509791779523902,0.01530208220476098
50000,RR,-1.3,0.1121,0.09680048458561036,0.015299515414389647
50000,RR,-1.29,0.1139,0.09852532904974787,0.015374670950252134
50000,RR,-1.28,0.116,0.10027256795444206,0.015727432045557946
50000,RR,-1.27,0.1182,0.10204231507481915,0.016157684925180854
50000,RR,-1.26,0.1201,0.1038346811213004,0.0162653188786996
50000,RR,-1.25,0.1212,0.10564977366685535,0.015550226333144651
50000,RR,-1.24,0.1224,0.10748769707458694,0.014912302925413054
50000,RR,-1.23,0.1242,0.10934855242569191,0.014851447574308091
50000,RR,-1.22,0.1266,0.11123243744783456,0.015367562552165426
50000,RR,-1.21,0.128,0.11313944644397739,0.014860553556022615
50000,RR,-1.2,0.1307,0.11506967022170822,0.01563032977829179
50000,RR,-1.19,0.1321,0.11702319602310873,0.015076803976891262
50000,RR,-1.18,0.1339,0.11900010745520073,0.01489989254479926
50000,RR,-1.17,0.1355,0.12100048442101824,0.01449951557898177
50000,RR,-1.16,0.1382,0.12302440305134343,0.015175596948656556
50000,RR,-1.15,0.1407,0.12507193563715036,0.015628064362849636
50000,RR,-1.14,0.1423,0.1271431505627983,0.01515684943720172
50000,RR,-1.13,0.1438,0.12923811224001786,0.014561887759982156
50000,RR,-1.1199999999999999,0.1457,0.13135688104273074,0.014343118957269252
50000,RR,-1.1099999999999999,0.147,0.13349951324274728,0.013500486757252711
50000,RR,-1.0999999999999999,0.1496,0.13566606094638267,0.013933939053617339
50000,RR,-1.0899999999999999,0.1511,0.1378565720320355,0.013243427967964516
50000,RR,-1.08,0.1534,0.140071090088769,0.013328909911231007
50000,RR,-1.07,0.1553,0.14230965435593923,0.012990345644060763
50000,RR,-1.06,0.1571,0.1445722996639096,0.01252770033609038
50000,RR,-1.05,0.1598,0.1468590563758959,0.012940943624104084
50000,RR,-1.04,0.1612,0.1491699503309814,0.012030049669018605
50000,RR,-1.03,0.1631,0.15150500278834367,0.011594997211656327
50000,RR,-1.02,0.166,0.15386423037273478,0.01213576962726523
50000,RR,-1.01,0.1688,0.15624764502125466,0.01255235497874535
50000,RR,-1.0,0.1707,0.15865525393145707,0.012044746068542916
50000,RR,-0.9899999999999998,0.173,0.1610870595108309,0.011912940489169077
50000,RR,-0.98,0.1747,0.16354305932769236,0.01115694067230763
50000,RR,-0.9699999999999998,0.1769,0.1660232460635297,0.010876753936470307
50000,RR,-0.96,0.1804,0.16852760746683781,0.01187239253316219
50000,RR,-0.9500000000000002,0.1821,0.17105612630848183,0.011043873691518186
50000,RR,-0.94,0.1855,0.1736087803386246,0.011891219661375407
50000,RR,-0.9300000000000002,0.1877,0.17618554224525784,0.011514457754742163
50000,RR,-0.9199999999999999,0.1906,0.17878637961437172,0.011813620385628276
50000,RR,-0.9100000000000001,0.1929,0.1814112548917972,0.011488745108202775
50000,RR,-0.8999999999999999,0.1953,0.18406012534675953,0.011239874653240473
50000,RR,-0.8900000000000001,0.199,0.18673294303717258,0.012267056962827427
50000,RR,-0.8799999999999999,0.2009,0.18942965477671214,0.011470345223287853
50000,RR,-0.8700000000000001,0.2043,0.19215020210369615,0.012149797896303854
50000,RR,-0.8599999999999999,0.2068,0.1948945212518084,0.011905478748191617
50000,RR,-0.8500000000000001,0.2088,0.19766254312269238,0.011137456877307633
50000,RR,-0.8399999999999999,0.2109,0.20045419326044972,0.010445806739550284
50000,RR,-0.8300000000000001,0.214,0.2032693918280684,0.010730608171931583
50000,RR,-0.8199999999999998,0.2169,0.20610805358581308,0.010791946414186931
50000,RR,-0.81,0.2207,0.2089700878716016,0.011729912128398412
50000,RR,-0.7999999999999998,0.2239,0.21185539858339675,0.01204460141660324
50000,RR,-0.79,0.2273,0.21476388416363712,0.012536115836362882
50000,RR,-0.7799999999999998,0.2303,0.21769543758573318,0.012604562414266829
50000,RR,-0.77,0.2333,0.22064994634264962,0.01265005365735039
50000,RR,-0.7599999999999998,0.2362,0.2236272924375995,0.012572707562400504
50000,RR,-0.75,0.239,0.2266273523768682,0.012372647623131783
50000,RR,-0.7399999999999998,0.2432,0.22964999716479062,0.01355000283520938
50000,RR,-0.73,0.2464,0.2326950923008974,0.013704907699102598
50000,RR,-0.7199999999999998,0.2492,0.23576249777925123,0.01343750222074877
50000,RR,-0.71,0.2518,0.2388520680899867,0.01294793191001331
50000,RR,-0.6999999999999997,0.2546,0.2419636522230731,0.012636347776926904
50000,RR,-0.69,0.2573,0.24509709367430943,0.012202906325690543
50000,RR,-0.6800000000000002,0.2599,0.24825223045357053,0.011647769546429487
50000,RR,-0.6699999999999999,0.2634,0.2514288950953102,0.011971104904689833
50000,RR,-0.6600000000000001,0.267,0.2546269146713361,0.012373085328663935
50000,RR,-0.6499999999999999,0.2697,0.2578461108058647,0.01185388919413527
50000,RR,-0.6400000000000001,0.272,0.26108629969286157,0.010913700307138452
50000,RR,-0.6299999999999999,0.2756,0.2643472921156776,0.011252707884322422
50000,RR,-0.6200000000000001,0.2799,0.267628893468983,0.012271106531016984
50000,RR,-0.6099999999999999,0.2841,0.27093090378300577,0.013169096216994247
50000,RR,-0.6000000000000001,0.2881,0.27425311775007355,0.013846882249926473
50000,RR,-0.5899999999999999,0.2922,0.27759532475346493,0.014604675246535082
50000,RR,-0.5800000000000001,0.2954,0.2809573088985643,0.0144426911014357
50000,RR,-0.5699999999999998,0.2995,0.2843388490463242,0.015161150953675762
50000,RR,-0.56,0.3033,0.28773971884902705,0.015560281150972965
50000,RR,-0.5499999999999998,0.3066,0.2911596867883464,0.015440313211653567
50000,RR,-0.54,0.3088,0.294598516215698,0.014201483784302027
50000,RR,-0.5299999999999998,0.3112,0.29805596539487644,0.013144034605123533
50000,RR,-0.52,0.3143,0.3015317875469662,0.012768212453033834
50000,RR,-0.5099999999999998,0.3185,0.3050257308975195,0.013474269102480507
50000,RR,-0.5,0.3215,0.3085375387259869,0.012962461274013126
50000,RR,-0.48999999999999977,0.3253,0.3120669494173906,0.013233050582609374
50000,RR,-0.48,0.3278,0.31561369651622256,0.012186303483777416
50000,RR,-0.46999999999999975,0.3316,0.3191775087825559,0.012422491217444098
50000,RR,-0.45999999999999996,0.3342,0.32275811025034773,0.011441889749652268
50000,RR,-0.44999999999999973,0.3379,0.32635522028792013,0.011544779712079845
50000,RR,-0.43999999999999995,0.3414,0.32996855366059363,0.011431446339406348
50000,RR,-0.43000000000000016,0.3451,0.3335978205954576,0.0115021794045424
50000,RR,-0.41999999999999993,0.3479,0.3372427268482495,0.010657273151750468
50000,RR,-0.41000000000000014,0.3511,0.34090297377232254,0.010197026227677486
50000,RR,-0.3999999999999999,0.3541,0.3445782583896759,0.009521741610324153
50000,RR,-0.3900000000000001,0.3566,0.34826827346401756,0.008331726535982409
50000,RR,-0.3799999999999999,0.3601,0.35197270757583726,0.008127292424162713
50000,RR,-0.3700000000000001,0.3636,0.3556912451994532,0.007908754800546758
50000,RR,-0.3599999999999999,0.3669,0.3594235667820088,0.007476433217991185
50000,RR,-0.3500000000000001,0.3703,0.3631693488243809,0.007130651175619118
50000,RR,-0.33999999999999986,0.3736,0.366928263963972,0.006671736036027998
50000,RR,-0.33000000000000007,0.3764,0.37069998105934643,0.005700018940653584
50000,RR,-0.31999999999999984,0.3794,0.37448416527668005,0.004915834723319967
50000,RR,-0.31000000000000005,0.3827,0.3782804781779807,0.004419521822019268
50000,RR,-0.2999999999999998,0.3867,0.38208857781104744,0.004611422188952552
50000,RR,-0.29000000000000004,0.39,0.38590811880112263,0.0040918811988773784
50000,RR,-0.2799999999999998,0.3926,0.38973875244420286,0.0028612475557971417
50000,RR,-0.27,0.3956,0.3935801268019605,0.0020198731980395346
50000,RR,-0.2599999999999998,0.3996,0.3974318867982396,0.0021681132017604132
50000,RR,-0.25,0.4043,0.4012936743170763,0.003006325682923694
50000,RR,-0.23999999999999977,0.4096,0.40516512830220425,0.0044348716977957725
50000,RR,-0.22999999999999998,0.4128,0.40904588485799415,0.003754115142005854
50000,RR,-0.21999999999999975,0.4167,0.4129355773517855,0.003764422648214527
50000,RR,-0.20999999999999996,0.4205,0.41683383651755773,0.003666163482442253
50000,RR,-0.19999999999999973,0.4234,0.42074029056089707,0.002659709439102931
50000,RR,-0.18999999999999995,0.4272,0.42465456526520456,0.00254543473479546
