method,label,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,problem_seed,sigma_true,rr_alpha_1,rr_alpha_2,T,T_eff,n_traj,b_n,n_bootstrap,max_a_norm,max_rho,warn_unstable,warn_assumption
RR_OBM,RR + OBM,3.0570034336902014,6.118722090502543,93.0,0,1766867110,2.461885435521448,0.2,0.1,1000000,999000,100,3981,500,0.7862294349166898,0.966528381029845,False,False
RR_OBM_RR,RR + OBM-RR,3.0570034336902014,6.074854731438114,94.0,0,1766867110,2.461885435521448,0.2,0.1,1000000,999000,100,3981,500,0.7862294349166898,0.966528381029845,False,False
RR_MSB,RR + MSB,3.0570034336902014,6.024102264692312,94.0,0,1766867110,2.461885435521448,0.2,0.1,1000000,999000,100,3981,500,0.7862294349166898,0.966528381029845,False,False
RR_BATCH,RR + batch means,4.023598209494493,3.99166420703596,99.0,0,1190961761,1.0578529340808747,0.2,0.1,1000000,999000,100,3981,500,0.7727634973220407,0.9846966062055065,False,False
RR_ORACLE,RR + oracle variance,4.023192713099105,4.033740820069138,99.0,0,1190961761,1.0578529340808747,0.2,0.1,1000000,999000,100,3981,500,0.7727634973220407,0.9846966062055065,False,False
RR_OBM,RR + OBM,4.023192713099105,4.065802091714974,99.0,0,1190961761,1.0578529340808747,0.2,0.1,1000000,999000,100,3981,500,0.7727634973220407,0.9846966062055065,False,False
RR_OBM_RR,RR + OBM-RR,4.023192713099105,4.039354580720216,99.0,0,1190961761,1.0578529340808747,0.2,0.1,1000000,999000,100,3981,500,0.7727634973220407,0.9846966062055065,False,False
RR_MSB,RR + MSB,4.023192713099105,4.036385879340482,99.0,0,1190961761,1.0578529340808747,0.2,0.1,1000000,999000,100,3981,500,0.7727634973220407,0.9846966062055065,False,False
RR_BATCH,RR + batch means,2.9942617742740634,6.222723203071699,95.0,0,1906728919,2.4702153729064475,0.2,0.1,1000000,999000,100,3981,500,0.840954022969886,0.9673394202974377,False,False
RR_ORACLE,RR + oracle variance,2.9945644444058606,6.1640017399829885,95.0,0,1906728919,2.4702153729064475,0.2,0.1,1000000,999000,100,3981,500,0.840954022969886,0.9673394202974377,False,False
RR_OBM,RR + OBM,2.9945644444058606,6.126908642581417,95.0,0,1906728919,2.4702153729064475,0.2,0.1,1000000,999000,100,3981,500,0.840954022969886,0.9673394202974377,False,False
RR_OBM_RR,RR + OBM-RR,2.9945644444058606,6.158236934536067,95.0,0,1906728919,2.4702153729064475,0.2,0.1,1000000,999000,100,3981,500,0.840954022969886,0.9673394202974377,False,False
RR_MSB,RR + MSB,2.9945644444058606,6.093400832037594,94.0,0,1906728919,2.4702153729064475,0.2,0.1,1000000,999000,100,3981,500,0.840954022969886,0.9673394202974377,False,False
RR_BATCH,RR + batch means,2.988069092173261,4.760545114737751,95.0,0,197860369,1.526526566184373,0.2,0.1,1000000,999000,100,3981,500,0.712148603784999,0.9743046378159217,False,False
RR_ORACLE,RR + oracle variance,2.987943948556286,4.845599612677247,94.0,0,197860369,1.526526566184373,0.2,0.1,1000000,999000,100,3981,500,0.712148603784999,0.9743046378159217,False,False
RR_OBM,RR + OBM,2.987943948556286,4.806013719965005,94.0,0,197860369,1.526526566184373,0.2,0.1,1000000,999000,100,3981,500,0.712148603784999,0.9743046378159217,False,False
RR_OBM_RR,RR + OBM-RR,2.987943948556286,4.795763718778352,96.0,0,197860369,1.526526566184373,0.2,0.1,1000000,999000,100,3981,500,0.712148603784999,0.9743046378159217,False,False
RR_MSB,RR + MSB,2.987943948556286,4.747586992299383,95.0,0,197860369,1.526526566184373,0.2,0.1,1000000,999000,100,3981,500,0.712148603784999,0.9743046378159217,False,False
RR_BATCH,RR + batch means,2.31777868432403,2.5911193783969315,93.0,0,594336918,0.4439071282822261,0.2,0.1,1000000,999000,100,3981,500,0.7276265850596422,0.9523667283337245,False,False
RR_ORACLE,RR + oracle variance,2.3174796559934556,2.613011987282245,95.0,0,594336918,0.4439071282822261,0.2,0.1,1000000,999000,100,3981,500,0.7276265850596422,0.9523667283337245,False,False
RR_OBM,RR + OBM,2.3174796559934556,2.607319046504717,94.0,0,594336918,0.4439071282822261,0.2,0.1,1000000,999000,100,3981,500,0.7276265850596422,0.9523667283337245,False,False
RR_OBM_RR,RR + OBM-RR,2.3174796559934556,2.60767945647507,94.0,0,594336918,0.4439071282822261,0.2,0.1,1000000,999000,100,3981,500,0.7276265850596422,0.9523667283337245,False,False
RR_MSB,RR + MSB,2.3174796559934556,2.5746804793702616,93.0,0,594336918,0.4439071282822261,0.2,0.1,1000000,999000,100,3981,500,0.7276265850596422,0.9523667283337245,False,False
RR_BATCH,RR + batch means,2.7999207621233313,2.98028458749776,92.0,0,487991439,0.5788421349952112,0.2,0.1,1000000,999000,100,3981,500,0.7499907647920281,0.9684521682237308,False,False
RR_ORACLE,RR + oracle variance,2.7999605278109763,2.983839170810711,91.0,0,487991439,0.5788421349952112,0.2,0.1,1000000,999000,100,3981,500,0.7499907647920281,0.9684521682237308,False,False
