estimator,lam,x,ratio_mean,ratio_std,ratio_cv,ratio_min,ratio_max,log_ratio_slope,abs_log_ratio_slope
OBM_RR,3.0,0.34,1.8594209135547388,0.8439059399644757,0.45385417245369297,1.2018181672397752,3.2467585881070375,0.21057700316565087,0.21057700316565087
OBM_RR,3.0,0.35,1.6479025208924807,0.716839621448261,0.4350012287498843,1.0840955261489562,2.827808515618443,0.20057700316565089,0.20057700316565089
OBM_RR,3.0,0.36,1.4608419940601949,0.6079298107999064,0.4161502840634086,0.9779042636003888,2.462918256471414,0.19057700316565088,0.19057700316565088
OBM_RR,3.0,0.37,1.2953698566283904,0.5146785829077837,0.3973217226525538,0.8821148373934186,2.145112126424714,0.1805770031656509,0.1805770031656509
OBM_RR,3.0,0.38,1.1489575987296117,0.43492557143677035,0.37853927065512444,0.7957083482638246,1.8683145584891905,0.1705770031656509,0.1705770031656509
OBM_RR,3.0,0.39,1.0193767135103238,0.36680312849602886,0.3598307903590482,0.7177657019891637,1.6272339550289547,0.16057700316565088,0.16057700316565088
OBM_RR,3.0,0.4,0.9046627015462547,0.30869742896248115,0.34122930948170377,0.6474578331069383,1.4172615271704498,0.15057700316565095,0.15057700316565095
OBM_RR,3.0,0.41,0.803083435852951,0.2592147442061682,0.3227743627047387,0.5840368862565977,1.234383187611013,0.14057700316565092,0.14057700316565092
OBM_RR,3.0,0.42,0.7131113548882804,0.21715221165894807,0.3045137483373382,0.5268282613424862,1.075102812463118,0.13057700316565093,0.13057700316565093
OBM_RR,3.0,0.43,0.633399016451537,0.18147251411438914,0.2865058350280436,0.4752234379032108,0.936375405114756,0.12057700316565094,0.12057700316565094
OBM_RR,3.0,0.44,0.5627576027864698,0.15128195644895673,0.2688225902233763,0.4286735023612034,0.8155488843853271,0.11057700316565097,0.11057700316565097
OBM_RR,3.0,0.45,0.5001380175010242,0.12581148696892483,0.2515535363569261,0.3866833093027019,0.7103133841289211,0.10057700316565096,0.10057700316565096
OBM_RR,3.0,0.46,0.44461425900677964,0.10440025319638654,0.23481085251203024,0.3488062146824719,0.6186570950347775,0.09057700316565091,0.09057700316565091
OBM_RR,3.0,0.47,0.3953687938280278,0.08648130203626234,0.21873578134211272,0.3146393249310713,0.5388278044432904,0.08057700316565103,0.08057700316565103
OBM_RR,3.0,0.48,0.35167968700973223,0.07156902273652822,0.20350627397637455,0.2838192114300508,0.4692993989260811,0.07057700316565098,0.07057700316565098
OBM_RR,3.0,0.49,0.3129092765566799,0.059247877171223054,0.1893452243512857,0.25601804477054124,0.4087426892528903,0.06057700316565105,0.06057700316565105
OBM_RR,3.0,0.5,0.2784942048806096,0.04916186506391889,0.17652742571427857,0.23094010767585033,0.356,0.05057700316565097,0.05057700316565097
OBM_RR,3.0,0.51,0.24793664307124713,0.04100407543252394,0.1653812640382527,0.20831864949649886,0.3100630380243647,0.04057700316565101,0.04057700316565101
OBM_RR,3.0,0.52,0.22079656383772828,0.03450573458812591,0.15627840392246992,0.18791304881938095,0.27005361671038935,0.030577003165651005,0.030577003165651005
OBM_RR,3.0,0.53,0.19668493653632052,0.029424692764087847,0.14960318406821246,0.16950625401010247,0.2352068674907041,0.020577003165651028,0.020577003165651028
OBM_RR,3.0,0.54,0.17525773311286355,0.02553459814655959,0.14569741199445768,0.15290247446389146,0.2048566176920278,0.010577003165650968,0.010577003165650968
OBM_RR,3.0,0.55,0.1562106473103896,0.022617693901049476,0.1447897072989414,0.13692751457299698,0.18297762989925595,0.0005770031656509595,0.0005770031656509595
OBM_RR,3.0,0.56,0.1392744413572902,0.02046449409320974,0.1469364651099966,0.12203677581950566,0.16687758182777543,-0.009422996834349063,0.009422996834349063
OBM_RR,3.0,0.57,0.12421084476355737,0.01888076887436776,0.15200580038166886,0.10876539093595215,0.1521941634724341,-0.019422996834348977,0.019422996834348977
OBM_RR,3.0,0.58,0.11080893899109245,0.01769775107503746,0.1597141100363764,0.09693725670815091,0.13880272677356517,-0.029422996834348916,0.029422996834348916
OBM_RR,3.0,0.59,0.09888196978568796,0.016779673733761703,0.16969396716235693,0.08639542098125122,0.12658959134964817,-0.03942299683434899,0.03942299683434899
OBM_RR,3.0,0.6,0.08826453600047462,0.016025378610684492,0.18156078688951946,0.07700000000000001,0.11545107946051422,-0.04942299683434887,0.04942299683434887
OBM_RR,3.0,0.61,0.07881010992381449,0.015364669071105222,0.19495809720298835,0.06794262202339883,0.1052926358833294,-0.05942299683434879,0.05942299683434879
OBM_RR,3.0,0.62,0.07038884955432075,0.014752018766617827,0.2095789156950682,0.059892313678963874,0.09602802522995142,-0.06942299683434904,0.06942299683434904
OBM_RR,3.0,0.63,0.0628856680343921,0.01415997678019461,0.22517017347180812,0.05279586113977234,0.08757859989165848,-0.079422996834349,0.079422996834349
OBM_RR,3.0,0.64,0.05619852964241849,0.013573530434651468,0.24152821294467117,0.04654024502094248,0.07987263239680681,-0.08942299683434896,0.08942299683434896
OBM_RR,3.0,0.65,0.05023694542370607,0.012985796590618109,0.2584909667794074,0.04102583725029286,0.07284470651377781,-0.09942299683434878,0.09942299683434878
OBM_RR,3.0,0.66,0.04492064477347866,0.012394945610692668,0.2759298240975093,0.03616481437367027,0.0664351619302654,-0.10942299683434892,0.10942299683434892
OBM_RR,3.0,0.67,0.04017840212665824,0.011802102502600225,0.293742455595803,0.031879758862756465,0.06058958779476712,-0.11942299683434882,0.11942299683434882
OBM_RR,3.0,0.68,0.03594700040640539,0.0112099624173873,0.31184694941583496,0.028102426149529156,0.055258360820934146,-0.129422996834349,0.129422996834349
OBM_RR,3.0,0.69,0.0321703150786124,0.010621904624928213,0.3301772021496274,0.024772657750945615,0.050396224033731916,-0.13942299683434886,0.13942299683434886
OBM_RR,3.0,0.7,0.028798504589528838,0.010041444384394999,0.3486793681657372,0.02183742317407592,0.04596190258137231,-0.14942299683434893,0.14942299683434893
OBM_RR,4.0,0.15,16.781650223331894,13.671882477252115,0.8146923750230355,6.028527435622992,39.27847284797802,0.40884558887639455,0.40884558887639455
OBM_RR,4.0,0.16,14.800108157930207,11.807826642415847,0.7978202940421734,5.498082366642655,34.21011971966737,0.3988455888763946,0.3988455888763946
OBM_RR,4.0,0.17,13.055391088766061,10.193661050150869,0.780800895265584,5.014310714049694,29.795768683868793,0.3888455888763947,0.3888455888763947
OBM_RR,4.0,0.18,11.518899284050363,8.796253453074913,0.7636366319527284,4.5731057231117935,25.95102965840334,0.37884558887639475,0.37884558887639475
OBM_RR,4.0,0.19,10.165517495391853,7.586832978532563,0.7463302268646689,4.170721988998501,22.602401954339687,0.3688455888763947,0.3688455888763947
OBM_RR,4.0,0.2,8.973187223293111,6.540418797562572,0.7288846911144994,3.803743661906672,19.68586914778203,0.35884558887639467,0.35884558887639467
OBM_RR,4.0,0.21,7.922531823726007,5.635323389712867,0.7113033453316626,3.4690554497902264,17.145675264357887,0.34884558887639466,0.34884558887639466
OBM_RR,4.0,0.22,6.996527892659785,4.852720686876542,0.6935898436090908,3.1638161725353773,14.933258880466315,0.33884558887639454,0.33884558887639454
OBM_RR,4.0,0.23,6.18021718433369,4.176270642937419,0.6757482008114374,2.8854346430817905,13.006324764274463,0.3288455888763946,0.3288455888763946
OBM_RR,4.0,0.24,5.460454035403082,3.591792875510938,0.6577828239599489,2.6315476707436445,11.328035308827163,0.3188455888763947,0.3188455888763947
OBM_RR,4.0,0.25,4.825683893736306,3.0869829827420032,0.639698548582695,2.4,9.866306299725343,0.3088455888763947,0.3088455888763947
OBM_RR,4.0,0.26,4.265749098867328,2.651165970511433,0.6215006811383702,2.188826014454183,8.593193554415077,0.2988455888763946,0.2988455888763946
