estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM_RR,2.0,0.175,OBM-LW(lambda=2),9,10000,1000000,0.12839174252756272,-0.12839174252756272,3.684877280588361,0.9148660535399955,0.7,-0.8283917425275626,0.04176448561861887,0.09918901370953807
OBM_RR,2.0,0.2,OBM-LW(lambda=2),9,10000,1000000,0.14068829031006966,-0.14068829031006966,2.6838075229432374,0.8710231809080018,0.8,-0.9406882903100697,0.036812364709060026,0.05952331801932924
OBM_RR,2.0,0.225,OBM-LW(lambda=2),9,10000,1000000,0.1604393951392396,-0.1604393951392396,1.6642962999457869,0.9206034452938859,0.775,-0.9354393951392397,0.020595227395433426,0.03831614414207903
OBM_RR,2.0,0.25,OBM-LW(lambda=2),9,10000,1000000,0.18929432029910503,-0.18929432029910503,0.8434252600857999,0.8483438763447813,0.75,-0.9392943202991051,0.010589789642729443,0.02249430632960012
OBM_RR,2.0,0.275,OBM-LW(lambda=2),9,10000,1000000,0.21263600768395707,-0.21263600768395707,0.42020761417636004,0.8228753779538378,0.725,-0.937636007683957,0.012776727474051924,0.032105755168086385
OBM_RR,2.0,0.3,OBM-LW(lambda=2),9,10000,1000000,0.22679945505599072,-0.22679945505599072,0.2068699238593422,0.6887843726155038,0.7,-0.9267994550559907,0.01033237107902495,0.02660728659439795
OBM_RR,2.0,0.325,OBM-LW(lambda=2),9,10000,1000000,0.231235323358113,-0.231235323358113,0.09758505951916997,0.5400144528339517,0.675,-0.9062353233581131,0.01439740107467672,0.025691343491984212
OBM_RR,2.0,0.35,OBM-LW(lambda=2),9,10000,1000000,0.17662434603281787,-0.17662434603281787,0.08448633223285161,0.28980293659115186,0.65,-0.8266243460328179,0.013674401862049138,0.024383709074176592
OBM_RR,2.0,0.375,OBM-LW(lambda=2),9,10000,1000000,-0.01088260254496739,0.01088260254496739,0.3530790812467406,0.001322123763598193,0.625,-0.6141173974550326,0.024712384347988694,0.0341192983723828
OBM_RR,2.0,0.4,OBM-LW(lambda=2),9,10000,1000000,-0.32454686497342894,0.32454686497342894,8.8860399456721,0.7118226345281653,0.6,-0.27545313502657104,0.027066823487759743,0.03831618413698343
OBM_RR,2.0,0.425,OBM-LW(lambda=2),9,10000,1000000,-0.5311259462436793,0.5311259462436793,96.86311705100688,0.9903041353010936,0.575,-0.0438740537563207,0.031278758730187414,0.041911018503453766
OBM_RR,2.0,0.45,OBM-LW(lambda=2),9,10000,1000000,-0.5489438821133547,0.5489438821133547,155.71187690896733,0.9975668150648177,0.55,-0.0010561178866453913,0.03755306121774504,0.04641851150770025
OBM_RR,2.0,0.475,OBM-LW(lambda=2),9,10000,1000000,-0.51493954568625,0.51493954568625,143.42514772303812,0.9975915300107454,0.525,-0.010060454313750022,0.03961769954432712,0.04967351980006198
OBM_RR,2.0,0.5,OBM-LW(lambda=2),9,10000,1000000,-0.48565598089356987,0.48565598089356987,138.491114857685,0.9979128507659533,0.5,-0.014344019106430128,0.04345278770828696,0.05354076692802976
OBM_RR,2.0,0.525,OBM-LW(lambda=2),9,10000,1000000,-0.4550651536002972,0.4550651536002972,132.39616540288728,0.9967488947081911,0.475,-0.019934846399702777,0.046430645018993175,0.058075341488384086
OBM_RR,2.0,0.55,OBM-LW(lambda=2),9,10000,1000000,-0.44895320463453714,0.44895320463453714,152.72268973264988,0.9920536918152724,0.44999999999999996,-0.001046795365462816,0.046276989938420506,0.05472793937884181
OBM_RR,2.0,0.575,OBM-LW(lambda=2),9,10000,1000000,-0.4197339852023749,0.4197339852023749,144.76943164507088,0.9940592632264734,0.42500000000000004,-0.005266014797625118,0.043302467743422626,0.050719701284848255
OBM_RR,2.0,0.6,OBM-LW(lambda=2),9,10000,1000000,-0.40079574263546974,0.40079574263546974,154.1438139769855,0.9949920132374116,0.4,0.0007957426354697206,0.039359813900339734,0.04681318159093857
OBM_RR,2.0,0.625,OBM-LW(lambda=2),9,10000,1000000,-0.37532630922405363,0.37532630922405363,152.79847933058502,0.9924112387102407,0.375,0.0003263092240536336,0.036198187364961394,0.042764561197416714
OBM_RR,2.0,0.65,OBM-LW(lambda=2),9,10000,1000000,-0.3478775471027833,0.3478775471027833,151.69265310927744,0.9893181352734975,0.35,-0.0021224528972166867,0.03294214965673513,0.03892898051621227
