estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM_RR,4.0,20000,1287,14.29455627303313,-1.705331717959779,11.400650818276327,5.530043287007115,0.725,1312.9456446135114,0.7229846222972781,0.019959267992566036
OBM_RR,4.0,20000,1653,16.668056227995738,-2.173227345508845,11.960089244283672,5.530043287007115,0.75,1681.792830507429,0.7482563146074083,0.01726856658107176
OBM_RR,4.0,30000,5,10.402680115732483,-3.223262710552956,0.0132742072503625,5.530043287007115,0.15,4.694271328870265,0.15612040964921,0.06309501333745664
OBM_RR,4.0,30000,6,8.4849325440318,-2.909717401183088,0.0185003146774839,5.530043287007115,0.175,6.074299753156561,0.17380615938497024,0.012307246384696045
OBM_RR,4.0,30000,8,5.708299055433399,-2.38278171495009,0.0306887152269414,5.530043287007115,0.2,7.860030855966229,0.2017122020181897,0.01765100955097741
OBM_RR,4.0,30000,10,3.8975892778189336,-1.962894485930457,0.0446903778951096,5.530043287007115,0.225,10.170733675867188,0.22335781032193994,0.016929255650920155
OBM_RR,4.0,30000,13,2.2641099081330154,-1.4819428857218977,0.0680402418936369,5.530043287007115,0.25,13.160740129524925,0.24880794799393632,0.012288807699536324
OBM_RR,4.0,30000,17,1.1711078115282283,-1.034102249710083,0.1018676832768686,5.530043287007115,0.275,17.029752845447483,0.2748303767920441,0.0017486376209645733
OBM_RR,4.0,30000,22,0.5979094432503863,-0.6714680689698147,0.1472241057365048,5.530043287007115,0.3,22.036183309053403,0.29984059051495643,0.0016433448349718553
OBM_RR,4.0,30000,29,0.3547686653034184,-0.3747136612284771,0.2146266206680031,5.530043287007115,0.325,28.514411174206582,0.3266380146298997,0.016886215277078766
OBM_RR,4.0,30000,37,0.3284285984196662,-0.1935351339179645,0.2913369215109109,5.530043287007115,0.35,36.89711749119786,0.350270103230695,0.00278448141872228
OBM_RR,4.0,30000,49,0.4043573759533559,-0.0685976262656939,0.4001519315384911,5.530043287007115,0.375,47.74418348819862,0.37751849544989513,0.02596305036901687
OBM_RR,4.0,30000,63,0.5217561958989978,-0.0191318678434955,0.522042720932983,5.530043287007115,0.4,61.78008505674121,0.40189676514942824,0.019553662133815528
OBM_RR,4.0,30000,82,0.6768921218571374,-0.0126096015916816,0.6775800949234908,5.530043287007115,0.425,79.94228052013091,0.4274652714322233,0.025414366490428865
OBM_RR,4.0,30000,107,0.8782182683930404,-0.039516004069882,0.8777539462481998,5.530043287007115,0.45,103.44382350541889,0.4532787168866349,0.03380013717197439
OBM_RR,4.0,30000,138,1.1229841853509483,-0.0808988472869893,1.1178368579309983,5.530043287007115,0.475,133.85438283469583,0.4779587070922935,0.03050117135116586
OBM_RR,4.0,30000,180,1.4496176195077004,-0.1175905785745135,1.437587059162165,5.530043287007115,0.5,173.20508075688772,0.5037327284191505,0.03848052056806427
OBM_RR,4.0,30000,234,1.8404831368515928,-0.1709544756452041,1.8135246098708044,5.530043287007115,0.525,224.12415166897196,0.529182866091147,0.043120968519447564
OBM_RR,4.0,30000,278,2.165658258836722,-0.2086618386190615,2.1247744640208603,5.530043287007115,0.55,290.0124819770266,0.545896493944994,0.042302849663724225
OBM_RR,4.0,30000,361,2.802413554750294,-0.2785455065085642,2.728236250867766,5.530043287007115,0.575,375.27075541015427,0.5712392085002391,0.03876982153758678
OBM_RR,4.0,30000,469,3.668218409101994,-0.3853355702389596,3.5241400825137523,5.530043287007115,0.6,485.59337483020374,0.5966273171402726,0.03476882794029588
OBM_RR,4.0,30000,608,4.784303340065436,-0.5280718992521525,4.511082262113302,5.530043287007115,0.625,628.3487915845369,0.6218066076137692,0.03292053093651589
OBM_RR,4.0,30000,789,6.233967763239092,-0.6876777539630154,5.768277416714368,5.530043287007115,0.65,813.0716446117171,0.6470847757709037,0.030052908572916048
OBM_RR,4.0,30000,1025,8.129486893672913,-0.8967633294524964,7.334470512763141,5.530043287007115,0.675,1052.099579287026,0.6724686900579134,0.026095154362389336
OBM_RR,4.0,30000,1330,10.33075307995444,-1.2087064742978155,8.880882842498105,5.530043287007115,0.7,1361.3972791592591,0.697736662297007,0.02333264123520476
OBM_RR,4.0,30000,1726,13.145888398182484,-1.5628833568218503,10.71667986097797,5.530043287007115,0.725,1761.6227476853735,0.7230183430852556,0.02042880732373851
OBM_RR,4.0,30000,2240,16.32038948672508,-2.0158316282128723,12.272152524076812,5.530043287007115,0.75,2279.5070569547775,0.748304061410537,0.017483350634133744
OBM_RR,4.0,50000,5,11.99381870784561,-3.4622295125565405,0.0067940027315226,5.530043287007115,0.15,5.068103794729894,0.14874962038298556,0.013528830227442057
OBM_RR,4.0,50000,7,8.439386674103798,-2.902895278912057,0.0126014255558357,5.530043287007115,0.175,6.6423193338963555,0.17984750684393275,0.052448949283514026
OBM_RR,4.0,50000,9,6.008357876380756,-2.447202920088299,0.0195802195665138,5.530043287007115,0.2,8.705505632961243,0.20307482460172946,0.033268920454162604
OBM_RR,4.0,50000,11,4.325594644027292,-2.0732102560280508,0.0274281635318113,5.530043287007115,0.225,11.409543040000797,0.22162147964283027,0.03655484119394312
OBM_RR,4.0,50000,15,2.3164724526938945,-1.507196178837309,0.0448882414939751,5.530043287007115,0.25,14.953487812212206,0.2502870326838503,0.003105629999639262
OBM_RR,4.0,50000,19,1.3000801292622637,-1.111892672073722,0.0638546333427005,5.530043287007115,0.275,19.598225535066074,0.27213487206192993,0.031000049046387677
OBM_RR,4.0,50000,26,0.5506071565694051,-0.6722088570320413,0.0988659915865645,5.530043287007115,0.3,25.685676074155552,0.3011241499020292,0.012163052698397134
OBM_RR,4.0,50000,34,0.2934806910374107,-0.3913317114215529,0.1405158274576105,5.530043287007115,0.325,33.66396382192787,0.3259180023769185,0.009932582182819337
OBM_RR,4.0,50000,45,0.235888006110391,-0.192586135803995,0.1990473956510396,5.530043287007115,0.35,44.12040613345333,0.351824444984715,0.019740090226720956
OBM_RR,4.0,50000,59,0.2784783637074978,-0.0777797054182354,0.2727696431865336,5.530043287007115,0.375,57.824748377162095,0.37685961178898225,0.020120587251863165
OBM_RR,4.0,50000,78,0.3669675914236115,-0.0178242069681457,0.3671087750383662,5.530043287007115,0.4,75.78582832551992,0.4026615622028939,0.028797512925478264
OBM_RR,4.0,50000,102,0.479853492042264,0.0040450253374118,0.4804376769084193,5.530043287007115,0.425,99.32584120424065,0.42745541467778314,0.02656704240990083
OBM_RR,4.0,50000,135,0.6369160032759917,0.0020478660018508,0.637708945702959,5.530043287007115,0.45,130.17767238163063,0.45336185728557976,0.03637455045380198
OBM_RR,4.0,50000,177,0.8465679764800004,-0.0184830361057874,0.8472854606821653,5.530043287007115,0.475,170.61246279156248,0.4783970240898469,0.03675504747894491
OBM_RR,4.0,50000,233,1.122863178303358,-0.0619348536201425,1.1204277869440895,5.530043287007115,0.5,223.60679774997897,0.5038031566154964,0.0411493113605591
OBM_RR,4.0,50000,306,1.4861197804348325,-0.116796313200516,1.4743213032867082,5.530043287007115,0.525,293.06182667959655,0.5289928269786479,0.043201502636982046
OBM_RR,4.0,50000,368,1.7781144047351938,-0.1635966365208627,1.753542473345937,5.530043287007115,0.55,384.09044412331593,0.5460447324213301,0.042795118256725266
OBM_RR,4.0,50000,483,2.336540250366981,-0.26421633429766,2.2695669377294503,5.530043287007115,0.575,503.39367272195074,0.5711777534810553,0.04135585988333955
OBM_RR,4.0,50000,636,3.098091871221474,-0.393726438849403,2.9467548060800413,5.530043287007115,0.6,659.7539553864469,0.5966109834839332,0.03666840730604748
OBM_RR,4.0,50000,836,4.039806748256558,-0.5491411888429001,3.742929364678613,5.530043287007115,0.625,864.6816701021309,0.6218823007472963,0.033732814671725286
OBM_RR,4.0,50000,1099,5.251286543813985,-0.7364193925749367,4.714866605310183,5.530043287007115,0.65,1133.2624602040687,0.6471626100224903,0.030699930463062935
OBM_RR,4.0,50000,1445,6.80096202732879,-0.9600692964509214,5.88658720735021,5.530043287007115,0.675,1485.2677558853384,0.6724596760942864,0.027485741430409077
OBM_RR,4.0,50000,1899,8.852834710148969,-1.209192517928643,7.399938087343536,5.530043287007115,0.7,1946.610237380866,0.6977114052040613,0.024762088274911827
OBM_RR,4.0,50000,2497,11.410197359863094,-1.4928561916265712,9.193069087344483,5.530043287007115,0.725,2551.251382965138,0.7230134559736172,0.02149396591768188
OBM_RR,4.0,50000,3283,13.975118494413673,-1.8767128577378545,10.46615003155453,5.530043287007115,0.75,3343.7015248821103,0.7483067309399014,0.018320795806119707
OBM_RR,4.0,100000,6,12.750954503353034,-3.570296902157969,0.0039394581168885,5.530043287007115,0.15,5.62341325190349,0.15563025007672873,0.06482064948252075
OBM_RR,4.0,100000,8,9.71656569816927,-3.116069840143349,0.0066828030220477,5.530043287007115,0.175,7.498942093324557,0.18061799739838869,0.06467958531004617
OBM_RR,4.0,100000,10,7.466955005031251,-2.7307564659403973,0.0099365494427669,5.530043287007115,0.2,10.000000000000002,0.2,2.220446049250313e-16
OBM_RR,4.0,100000,13,5.103202312600001,-2.2555800513165454,0.0155804202281348,5.530043287007115,0.225,13.335214321633241,0.22278867046136736,0.02545887215676478
OBM_RR,4.0,100000,18,2.801502569291168,-1.665867222708001,0.0264219930896598,5.530043287007115,0.25,17.78279410038923,0.2510545010206612,0.012140391653607661
OBM_RR,4.0,100000,24,1.4377538511315808,-1.1819023080857738,0.0409119251795752,5.530043287007115,0.275,23.71373705661656,0.2760422483423212,0.011999327481132619
OBM_RR,4.0,100000,32,0.6503433700443715,-0.7674309530118997,0.0614699398284043,5.530043287007115,0.3,31.62277660168379,0.3010299956639812,0.011858263308658178
OBM_RR,4.0,100000,43,0.2810455610783385,-0.4373496561053116,0.0898831933746224,5.530043287007115,0.325,42.16965034285823,0.3266936911159173,0.019499339578238004
OBM_RR,4.0,100000,57,0.1711006700055551,-0.2171643646959129,0.1240954279967714,5.530043287007115,0.35,56.234132519034894,0.3511749711344983,0.013527355094970562
OBM_RR,4.0,100000,77,0.1749452795313361,-0.0742797069146687,0.1696398544901196,5.530043287007115,0.375,74.98942093324558,0.3772981450344964,0.026458372489848083
OBM_RR,4.0,100000,103,0.2289097427117579,-0.0085872825771966,0.229122404295066,5.530043287007115,0.4,100.00000000000003,0.40256744494103447,0.029558802241544214
OBM_RR,4.0,100000,138,0.3061983226801677,0.012992422566552,0.3064125353051513,5.530043287007115,0.425,133.3521432163324,0.4279758172802473,0.034260362544857766
OBM_RR,4.0,100000,184,0.4146102434239964,0.0011290903569287,0.415127878426996,5.530043287007115,0.45,177.8279410038923,0.4529635646019073,0.03411929837238258
OBM_RR,4.0,100000,247,0.5734715902740248,-0.0252013452670363,0.5735534242510704,5.530043287007115,0.475,237.13737056616546,0.4785393906519332,0.04074874076711888
OBM_RR,4.0,100000,330,0.7825372816128087,-0.0701265109512387,0.77859279506845,5.530043287007115,0.5,316.22776601683796,0.5037027879755774,0.04262992197541153
OBM_RR,4.0,100000,442,1.0418265469119043,-0.124062042281964,1.0277198063346509,5.530043287007115,0.525,421.69650342858233,0.5290844538698184,0.04702401296832797
OBM_RR,4.0,100000,537,1.2592545785622624,-0.157025361044794,1.2361427930423174,5.530043287007115,0.55,562.3413251903494,0.5459948571399111,0.04611091122476142
