scenario,lazy_prob,T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,slem_median,spectral_gap_median,relaxation_time_median,max_rho_median,warn_unstable_rate,width_ratio_to_oracle
lazy_0p50,0.5,1000000,0.4,251,OBM_RR,999000,100,5.808960968380143,5.414135252094969,9.459767529557027,94.0,93.92,0.00901095675126272,0.010536826173199449,0.00901095675126272,0.07835310346503092,0.07835310346503092,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,1.0007746683868406
lazy_0p50,0.5,1000000,0.5,1000,OBM,999000,100,5.808960968380143,5.414135252094969,9.329148823265594,94.0,93.4,-0.02240096085407243,-0.02092537806521567,-0.02240096085407243,0.11634777622984997,0.11634777622984997,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9869561583583972
lazy_0p50,0.5,1000000,0.5,1000,OBM_RR,999000,100,5.808960968380143,5.414135252094969,9.41075477563504,94.0,93.78,0.007203683271587775,0.007886416452022624,0.007203683271587775,0.3034427858087906,0.3034427858087906,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9955894751566957
lazy_0p50,0.5,1000000,0.6,3981,OBM,999000,100,5.808960968380143,5.414135252094969,9.371229030182025,94.0,93.65,-0.0023282738958890813,-0.0008169076723492054,-0.0023282738958890813,0.29975638870890753,0.29975638870890753,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9914079384883908
lazy_0p50,0.5,1000000,0.6,3981,OBM_RR,999000,100,5.808960968380143,5.414135252094969,9.321524477032206,94.0,93.42,-0.004734260460551299,-0.002055174183094876,-0.004734260460551299,1.1975022933782218,1.1975022933782218,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,0.9861495579266694
lazy_0p50,0.5,1000000,,0,ORACLE,999000,100,5.808960968380143,5.414135252094969,9.452445019222287,94.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5736571627520449,0.4263428372479551,2.3455328511699642,0.9723602790180893,0.0,1.0
lazy_0p80,0.8,100000,0.4,100,OBM,99000,100,17.271639145430775,32.477801655247745,43.925096958423524,86.5,83.87,-0.2800974214816313,-0.2771620652202337,-0.2800974214816313,50.01493174524187,50.01493174524187,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.8483750499810161
lazy_0p80,0.8,100000,0.4,100,OBM_RR,99000,100,17.271639145430775,32.477801655247745,51.83685017552768,92.0,90.11,0.01594958286709551,0.02029737727797197,0.01594958286709551,2.8822959292273125,2.8822959292273125,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0011836832175334
lazy_0p80,0.8,100000,0.5,316,OBM,99000,100,17.271639145430775,32.477801655247745,49.46660674522556,91.0,88.58,-0.07459943219027637,-0.07048189750382489,-0.07459943219027637,6.323799436589721,6.323799436589721,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.9554044925522728
lazy_0p80,0.8,100000,0.5,316,OBM_RR,99000,100,17.271639145430775,32.477801655247745,51.74803037824752,92.0,90.17,0.02211234463687864,0.025002912910345093,0.02211234463687864,9.138461432779552,9.138461432779552,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.9994682060717873
lazy_0p80,0.8,100000,0.6,999,OBM,99000,100,17.271639145430775,32.477801655247745,50.980792832782754,92.0,89.58,-0.011232358598298683,-0.008159941533308438,-0.011232358598298683,7.452382016637277,7.452382016637277,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.984649680079754
lazy_0p80,0.8,100000,0.6,999,OBM_RR,99000,100,17.271639145430775,32.477801655247745,50.95952867862467,92.0,89.12,0.004130845109629644,0.004505836606331531,0.004130845109629644,28.055828785642667,28.055828785642667,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.9842389814337443
lazy_0p80,0.8,100000,,0,ORACLE,99000,100,17.271639145430775,32.477801655247745,51.77556430897682,92.0,89.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0
lazy_0p80,0.8,1000000,0.4,251,OBM,999000,100,17.271639145430775,18.189682630961713,15.447080267842473,70.5,62.26,-0.09880126883149573,-0.09393689901597577,-0.09880126883149573,7.023854890512925,7.023854890512925,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.9477345408277423
lazy_0p80,0.8,1000000,0.4,251,OBM_RR,999000,100,17.271639145430775,18.189682630961713,16.41448961172495,76.5,65.47,0.029526331992075914,0.03487385373380484,0.029526331992075914,1.2962473113895578,1.2962473113895578,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0070886216261445
lazy_0p80,0.8,1000000,0.5,1000,OBM,999000,100,17.271639145430775,18.189682630961713,16.186150914517157,74.5,64.56,-0.0021038720301484112,0.0020277152456624125,-0.0021038720301484112,0.9756915422439968,0.9756915422439968,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.9930792123009441
lazy_0p80,0.8,1000000,0.5,1000,OBM_RR,999000,100,17.271639145430775,18.189682630961713,16.373367558764897,76.5,65.3,0.0289821160866707,0.03152866216700053,0.0289821160866707,3.2784358292126985,3.2784358292126985,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0045656341551
lazy_0p80,0.8,1000000,0.6,3981,OBM,999000,100,17.271639145430775,18.189682630961713,16.335449546548396,76.0,65.11,0.019483362875429736,0.022644581014698063,0.019483362875429736,3.112276818380132,3.112276818380132,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0022392262337325
lazy_0p80,0.8,1000000,0.6,3981,OBM_RR,999000,100,17.271639145430775,18.189682630961713,16.280421918360073,74.5,64.75,0.02215127941796396,0.022989236041428995,0.02215127941796396,11.685224115932204,11.685224115932204,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,0.998863081161031
lazy_0p80,0.8,1000000,,0,ORACLE,999000,100,17.271639145430775,18.189682630961713,16.29895250451792,76.5,64.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8293087090644498,0.1706912909355503,5.8585298632999265,0.9723602790180893,0.0,1.0
lazy_0p95,0.95,100000,0.4,100,OBM,99000,100,74.38627435555341,124.78543031597502,89.68847955357484,64.0,55.15,-0.2792190139035946,-0.27348895022068626,-0.2792190139035946,1010.5370556430812,1010.5370556430812,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,0.834711179861841
lazy_0p95,0.95,100000,0.4,100,OBM_RR,99000,100,74.38627435555341,124.78543031597502,112.50951524582837,78.0,64.59,0.10561991078656521,0.12139136980659389,0.10561991078656521,299.6082072879684,299.6082072879684,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,1.0471015974847793
lazy_0p95,0.95,100000,0.5,316,OBM,99000,100,74.38627435555341,124.78543031597502,106.31138496574911,75.5,62.14,-0.011062879406107552,0.003316595948576142,-0.011062879406107552,183.0375444504625,183.0375444504625,0.0,0.0,0,0.9572930450999573,0.04270695490004278,23.41539948470922,0.9723602790180893,0.0,0.989416946515399
