scenario,lazy_prob,problem_seed,T,T_eff,sigma_true,rr_alpha_1,rr_alpha_2,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,slem,spectral_gap,relaxation_time,eta,b_n,lam,estimator,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.6,999,0.0,OBM,10.217829676900582,15.091372696717732,92.0,0,1.474313260934211,-0.03170525973560271,0.04285584681908996,1.474313260934211,-0.03170525973560271,0.04285584681908996,0.0,0.0
baseline,0.0,967196436,100000,99000,1.5225872863170185,0.2,0.1,0.25,0.6,0.35,0.71009375439602,0.9744737283784642,False,False,0.1911803388699634,0.8088196611300366,1.2363695494281843,0.6,999,2.0,OBM_RR,10.217829676900582,15.135070858816592,93.0,0,1.499309700236908,-0.015288178411377987,0.1422284550213785,1.499309700236908,-0.015288178411377987,0.1422284550213785,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,,0,2.0,ORACLE,7.796499589073006,15.564310816371707,95.0,0,1.560769649441434,0.0,0.0,1.560769649441434,0.0,0.0,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.4,100,0.0,OBM,7.796499589073006,13.314868105250204,88.0,0,1.1428818326311034,-0.26774470977179987,0.17763145280580012,1.1428818326311034,-0.26774470977179987,0.17763145280580012,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.4,100,2.0,OBM_RR,7.796499589073006,15.41788002722367,94.0,0,1.5338695683649866,-0.017235138501107094,0.01516653837529343,1.5338695683649866,-0.017235138501107094,0.01516653837529343,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.5,316,0.0,OBM,7.796499589073006,14.779063201295504,93.0,0,1.4094509404446414,-0.09695134003339083,0.0354400222976483,1.4094509404446414,-0.09695134003339083,0.0354400222976483,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.5,316,2.0,OBM_RR,7.796499589073006,15.379073618752464,93.0,0,1.532497823525992,-0.018114028502258392,0.05391324884372459,1.532497823525992,-0.018114028502258392,0.05391324884372459,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.6,999,0.0,OBM,7.796499589073006,15.194312401323845,92.0,0,1.494346434260673,-0.04255798746761417,0.04609392029564547,1.494346434260673,-0.04255798746761417,0.04609392029564547,0.0,0.0
baseline,0.0,1803345591,100000,99000,1.560769649441434,0.2,0.1,0.25,0.6,0.35,0.7700944482408887,0.9718405574716356,False,False,0.1842812181810621,0.8157187818189379,1.2259126825180378,0.6,999,2.0,OBM_RR,7.796499589073006,15.057961837906664,92.0,0,1.4863906137153367,-0.04765535756843814,0.15646472963009203,1.4863906137153367,-0.04765535756843814,0.15646472963009203,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,,0,2.0,ORACLE,9.946581076173592,25.897340927834186,94.0,0,4.321050774280965,0.0,0.0,4.321050774280965,0.0,0.0,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.4,100,0.0,OBM,9.946581076173592,20.79072533813604,90.0,0,2.786479409488541,-0.3551384709307845,2.371836377013723,2.786479409488541,-0.3551384709307845,2.371836377013723,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.4,100,2.0,OBM_RR,9.946581076173592,25.665154542568303,93.0,0,4.249255568397691,-0.016615219221815494,0.09551237922695868,4.249255568397691,-0.016615219221815494,0.09551237922695868,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.5,316,0.0,OBM,9.946581076173592,24.297475120818874,93.0,0,3.808792933157906,-0.11854936863321175,0.34078897831430915,3.808792933157906,-0.11854936863321175,0.34078897831430915,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.5,316,2.0,OBM_RR,9.946581076173592,25.806986723716943,94.0,0,4.310084580376959,-0.002537853516852332,0.3274416191995621,4.310084580376959,-0.002537853516852332,0.3274416191995621,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.6,999,0.0,OBM,9.946581076173592,25.3062368846588,94.0,0,4.140837320622752,-0.04170593290198063,0.27512635408972136,4.140837320622752,-0.04170593290198063,0.27512635408972136,0.0,0.0
baseline,0.0,202244314,100000,99000,4.321050774280965,0.2,0.1,0.25,0.6,0.35,0.7861785897410013,0.9698795742731564,False,False,0.1990344026640614,0.8009655973359386,1.2484930730184445,0.6,999,2.0,OBM_RR,9.946581076173592,25.52429998069865,94.0,0,4.244926324768955,-0.01761711525472117,0.809410349150761,4.244926324768955,-0.01761711525472117,0.809410349150761,0.0,0.0
baseline,0.0,1497586439,100000,99000,2.482036996357162,0.2,0.1,0.25,0.6,0.35,0.7570355025661545,0.9546844288686142,False,False,0.19342522177206642,0.8065747782279336,1.2398106499152215,,0,2.0,ORACLE,8.245767961546079,19.627483218506192,97.0,0,2.482036996357162,0.0,0.0,2.482036996357162,0.0,0.0,0.0,0.0
