scenario,eig_min,eig_max,noise_target,T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,max_a_norm_median,max_rho_median,warn_unstable_rate,warn_assumption_rate,width_ratio_to_oracle
weak_high_noise,0.15,0.35,0.25,100000,0.5,316,OBM_RR,99000,100,5.582223017879043,16.11951651336812,29.138712717035347,95.0,94.46,-0.00631773810052879,-0.006516980630208674,-0.00631773810052879,0.8705372017720819,0.8705372017720819,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9899974208349025
weak_high_noise,0.15,0.35,0.25,100000,0.6,999,OBM,99000,100,5.582223017879043,16.11951651336812,28.427897678160534,94.0,93.76,-0.06094304203519102,-0.059897772585671916,-0.06094304203519102,0.9239254824458853,0.9239254824458853,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9658472443322419
weak_high_noise,0.15,0.35,0.25,100000,0.6,999,OBM_RR,99000,100,5.582223017879043,16.11951651336812,28.56592291773065,94.0,93.56,-0.029563513565919176,-0.029261083256737423,-0.029563513565919176,2.796813847953361,2.796813847953361,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9705366975868
weak_high_noise,0.15,0.35,0.25,100000,,0,ORACLE,99000,100,5.582223017879043,16.11951651336812,29.433119828192645,95.0,94.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,1.0
weak_high_noise,0.15,0.35,0.25,1000000,0.4,251,OBM,999000,100,5.582223017879043,5.077213503349034,8.2295421702016,92.0,92.08,-0.20768200899563985,-0.2052805381524786,-0.20768200899563985,2.766429254744726,2.766429254744726,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.8881872269608295
weak_high_noise,0.15,0.35,0.25,1000000,0.4,251,OBM_RR,999000,100,5.582223017879043,5.077213503349034,9.271489239535367,95.0,94.87,0.0002838555269354903,0.00027149262259784206,0.0002838555269354903,0.06406115423682915,0.06406115423682915,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,1.0006411228169645
weak_high_noise,0.15,0.35,0.25,1000000,0.5,1000,OBM,999000,100,5.582223017879043,5.077213503349034,9.054776104222043,94.0,94.2,-0.05084368492922019,-0.051039674681203476,-0.05084368492922019,0.2432262103607408,0.2432262103607408,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9772519919614368
weak_high_noise,0.15,0.35,0.25,1000000,0.5,1000,OBM_RR,999000,100,5.582223017879043,5.077213503349034,9.24554162175249,95.0,94.77,-0.0007800042217813983,-0.0010920028039700413,-0.0007800042217813983,0.28271625077681145,0.28271625077681145,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9978406823783382
weak_high_noise,0.15,0.35,0.25,1000000,0.6,3981,OBM,999000,100,5.582223017879043,5.077213503349034,9.18789130944301,95.0,94.51,-0.015202225226939769,-0.014729856676129522,-0.015202225226939769,0.30034311798156516,0.30034311798156516,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9916186751312049
weak_high_noise,0.15,0.35,0.25,1000000,0.6,3981,OBM_RR,999000,100,5.582223017879043,5.077213503349034,9.236634307598322,95.0,94.42,-0.011810791487918918,-0.00985965957612986,-0.011810791487918918,1.1429636806368981,1.1429636806368981,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,0.9968793454661943
weak_high_noise,0.15,0.35,0.25,1000000,,0,ORACLE,999000,100,5.582223017879043,5.077213503349034,9.265548884733665,95.0,94.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4838929060409427,0.9880387293969626,0.03,0.0,1.0
weak_mean,0.12,0.3,0.18,100000,0.4,100,OBM,99000,100,7.859697167393989,19.2331195492167,24.251417541834883,82.5,82.28,-0.5183760542331909,-0.5109421235466943,-0.5183760542331909,34.28237807095971,34.28237807095971,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.6943466330676248
weak_mean,0.12,0.3,0.18,100000,0.4,100,OBM_RR,99000,100,7.859697167393989,19.2331195492167,33.322037367910134,93.0,93.24,-0.09941118680352609,-0.10203118922560642,-0.09941118680352609,2.437157260973669,2.437157260973669,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9540491566503049
weak_mean,0.12,0.3,0.18,100000,0.5,316,OBM,99000,100,7.859697167393989,19.2331195492167,31.427013970351435,92.0,91.59,-0.20282045399328952,-0.2020585295014435,-0.20282045399328952,6.177612396921103,6.177612396921103,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.8997924059507043
weak_mean,0.12,0.3,0.18,100000,0.5,316,OBM_RR,99000,100,7.859697167393989,19.2331195492167,34.682072179710815,95.0,94.43,-0.008420173280675233,-0.008751375523607227,-0.008420173280675233,1.8322995125830968,1.8322995125830968,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.99298855434941
weak_mean,0.12,0.3,0.18,100000,0.6,999,OBM,99000,100,7.859697167393989,19.2331195492167,33.61932427288056,94.0,93.59,-0.07262523797582347,-0.07244591779101182,-0.07262523797582347,2.2037817429642965,2.2037817429642965,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9625608307066864
weak_mean,0.12,0.3,0.18,100000,0.6,999,OBM_RR,99000,100,7.859697167393989,19.2331195492167,34.07036365244098,94.0,93.48,-0.030475057111548277,-0.03014652239314045,-0.030475057111548277,5.953948605593065,5.953948605593065,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9754746191084753
weak_mean,0.12,0.3,0.18,100000,,0,ORACLE,99000,100,7.859697167393989,19.2331195492167,34.926960666161904,95.0,94.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,1.0
weak_mean,0.12,0.3,0.18,1000000,0.4,251,OBM,999000,100,7.859697167393989,6.03574477231264,9.62935161028236,91.0,91.26,-0.2522031250347151,-0.24873402210629272,-0.2522031250347151,8.845301848935563,8.845301848935563,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.8757928529120045
weak_mean,0.12,0.3,0.18,1000000,0.4,251,OBM_RR,999000,100,7.859697167393989,6.03574477231264,11.005862173668921,95.0,94.79,-0.0038675075508245327,-0.004222064408052842,-0.0038675075508245327,0.1390558547586582,0.1390558547586582,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,1.0009869638098283
weak_mean,0.12,0.3,0.18,1000000,0.5,1000,OBM,999000,100,7.859697167393989,6.03574477231264,10.713280406453812,94.0,94.08,-0.06345105826225286,-0.06367791951746982,-0.06345105826225286,0.7345324765859529,0.7345324765859529,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9743765510852852
weak_mean,0.12,0.3,0.18,1000000,0.5,1000,OBM_RR,999000,100,7.859697167393989,6.03574477231264,10.989665522580822,95.0,94.81,-0.0021376677123492466,-0.002219149417216411,-0.0021376677123492466,0.6027613512967754,0.6027613512967754,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9995138728024421
weak_mean,0.12,0.3,0.18,1000000,0.6,3981,OBM,999000,100,7.859697167393989,6.03574477231264,10.908846421320053,95.0,94.53,-0.019298806780495618,-0.018711618544474243,-0.019298806780495618,0.6600009671703663,0.6600009671703663,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9921633476448216
weak_mean,0.12,0.3,0.18,1000000,0.6,3981,OBM_RR,999000,100,7.859697167393989,6.03574477231264,10.891060143376738,94.0,94.43,-0.012746316424159944,-0.010895094921992293,-0.012746316424159944,2.43607329307101,2.43607329307101,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,0.9905456795262301
weak_mean,0.12,0.3,0.18,1000000,,0,ORACLE,999000,100,7.859697167393989,6.03574477231264,10.99501049622047,95.0,94.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3877954145929431,0.9874962472625517,0.0,0.0,1.0
