problem_seed,T,T_eff,eta,b_n,lam,estimator,sigma_true,l2_mean_x1e3,width_mean_x1e3,coverage_pct,diverged,sigma_mean_raw,rel_bias_raw,mse_raw,sigma_mean_used,rel_bias_used,mse_used,negative_rate,clamped_rate,scenario,eig_min,eig_max,noise_target,max_a_norm,max_rho,warn_unstable,warn_assumption,rr_alpha_1,rr_alpha_2
1596387605,100000,99000,0.6,999,0.0,OBM,3.060338144238423,10.323325641069818,21.33289319119368,93.0,0,2.9425232481721935,-0.038497345885792116,0.13620959956204307,2.9425232481721935,-0.038497345885792116,0.13620959956204307,0.0,0.0,baseline,0.25,0.6,0.35,0.7950634690006232,0.9693720320764538,False,False,0.2,0.1
1596387605,100000,99000,0.6,999,2.0,OBM_RR,3.060338144238423,10.323325641069818,21.45493220943012,93.0,0,3.013369966514043,-0.015347381730612135,0.5627605356973325,3.013369966514043,-0.015347381730612135,0.5627605356973325,0.0,0.0,baseline,0.25,0.6,0.35,0.7950634690006232,0.9693720320764538,False,False,0.2,0.1
94067870,100000,99000,,0,2.0,ORACLE,1.6265275770275067,10.118905310423036,15.888803894788701,97.0,0,1.6265275770275067,0.0,0.0,1.6265275770275067,0.0,0.0,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,,
94067870,100000,99000,0.4,100,0.0,OBM,1.6265275770275067,10.118905310423036,13.780282331192424,94.0,0,1.2240820303425328,-0.24742620559833767,0.16492516571232385,1.2240820303425328,-0.24742620559833767,0.16492516571232385,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
94067870,100000,99000,0.4,100,2.0,OBM_RR,1.6265275770275067,10.118905310423036,15.862198970366455,97.0,0,1.6230837433549652,-0.002117291905271699,0.013091335568592613,1.6230837433549652,-0.002117291905271699,0.013091335568592613,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
94067870,100000,99000,0.5,316,0.0,OBM,1.6265275770275067,10.118905310423036,15.216239589545415,97.0,0,1.493504395589797,-0.08178353894301052,0.02826250910972888,1.493504395589797,-0.08178353894301052,0.02826250910972888,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
94067870,100000,99000,0.5,316,2.0,OBM_RR,1.6265275770275067,10.118905310423036,15.815786442158347,98.0,0,1.6198400572325948,-0.004111531762119515,0.05230890118835,1.6198400572325948,-0.004111531762119515,0.05230890118835,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
94067870,100000,99000,0.6,999,0.0,OBM,1.6265275770275067,10.118905310423036,15.661127227435477,98.0,0,1.5869611689660812,-0.024325691503942086,0.04397360133558784,1.5869611689660812,-0.024325691503942086,0.04397360133558784,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
94067870,100000,99000,0.6,999,2.0,OBM_RR,1.6265275770275067,10.118905310423036,15.619553621880105,97.0,0,1.5975460012478673,-0.01781806603771424,0.171868313409074,1.5975460012478673,-0.01781806603771424,0.171868313409074,0.0,0.0,baseline,0.25,0.6,0.35,0.8237571747788438,0.9806093965803354,False,False,0.2,0.1
331334161,100000,99000,,0,2.0,ORACLE,1.9375291091622746,8.647665291580452,17.34141802916778,95.0,0,1.9375291091622746,0.0,0.0,1.9375291091622746,0.0,0.0,0.0,0.0,baseline,0.25,0.6,0.35,0.8241349755475844,0.9711524805845761,False,False,,
