T,b,estimator,lam,sigma_true,mean,bias,var,mse,mean_clamped,mse_clamped,n_traj_used
10000,11,OBM_RR,2.0,5.530043287007115,3.2602089951762547,-2.2698342918308603,0.08076426047149811,5.232844669292408,3.2602089951762547,5.232844669292408,1200
10000,11,OBM_RR,3.0,5.530043287007115,3.7714227793849857,-1.7586205076221293,0.1283953547636553,3.2210344484638003,3.7714227793849857,3.2210344484638003,1200
10000,11,OBM_RR,4.0,5.530043287007115,4.129892380369855,-1.4001509066372604,0.17890085023361996,2.1391743275489006,4.129892380369855,2.1391743275489006,1200
10000,12,OBM,0.0,5.530043287007115,1.4869915462597765,-4.043051740747338,0.012125482919845474,16.35838275671083,,,1200
10000,12,OBM_RR,2.0,5.530043287007115,3.4322749284647744,-2.0977683585423406,0.09375578144958024,4.494309737733129,3.4322749284647744,4.494309737733129,1200
10000,12,OBM_RR,3.0,5.530043287007115,3.935425335873002,-1.5946179511341132,0.14751355015038584,2.690197032271084,3.935425335873002,2.690197032271084,1200
10000,12,OBM_RR,4.0,5.530043287007115,4.278664072790629,-1.2513792142164863,0.20374527211401366,1.7695254221603216,4.278664072790629,1.7695254221603216,1200
10000,13,OBM,0.0,5.530043287007115,1.5840791499235982,-3.945964137083517,0.014110585556352024,15.584731797884318,,,1200
10000,13,OBM_RR,2.0,5.530043287007115,3.5907768487271103,-1.9392664382800047,0.107303276795507,3.8679681760373934,3.5907768487271103,3.8679681760373934,1200
10000,13,OBM_RR,3.0,5.530043287007115,4.082897786911522,-1.4471455000955933,0.16716339397563543,2.2612541895942466,4.082897786911522,2.2612541895942466,1200
10000,13,OBM_RR,4.0,5.530043287007115,4.4097437711280625,-1.1202995158790525,0.2290819268693871,1.483962030542503,4.4097437711280625,1.483962030542503,1200
10000,14,OBM,0.0,5.530043287007115,1.6778445917450624,-3.852198695262053,0.016222238809792254,14.855643508056115,,,1200
10000,14,OBM_RR,2.0,5.530043287007115,3.7368576922994747,-1.7931855947076403,0.12134434751512038,3.3367578042925166,3.7368576922994747,3.3367578042925166,1200
10000,14,OBM_RR,3.0,5.530043287007115,4.215643233316218,-1.314400053690897,0.18725414212203503,1.9147455981462342,4.215643233316218,1.9147455981462342,1200
10000,14,OBM_RR,4.0,5.530043287007115,4.5255103738435265,-1.0045329131635885,0.25482390405280264,1.2636979244283502,4.5255103738435265,1.2636979244283502,1200
10000,16,OBM,0.0,5.530043287007115,1.8559395042466107,-3.674103782760504,0.020801482654210317,13.519822754580378,,,1200
10000,16,OBM_RR,2.0,5.530043287007115,3.9957918232118677,-1.5342514637952473,0.15068773935347415,2.5044897203952043,3.9957918232118677,2.5044897203952043,1200
