T,b,estimator,lam,sigma_true,mean,bias,var,mse,mean_clamped,mse_clamped,n_traj_used
100000,11253,OBM_RR,3.0,5.530043287007115,3.026815859057322,-2.503227427949793,10.881709509587681,17.13697535611823,3.070363753728024,16.622290911639364,1000
100000,11253,OBM_RR,4.0,5.530043287007115,2.4468138091932197,-3.0832294778138953,7.9929297486087245,17.491240831720656,2.496552301711736,16.905868230417074,1000
100000,13836,OBM,0.0,5.530043287007115,4.637269068519221,-0.8927742184878937,4.417862215958847,5.210490158939558,,,1000
100000,13836,OBM_RR,2.0,5.530043287007115,3.2203852581703165,-2.3096580288367985,12.626233742551548,17.948127718979283,3.3012213082882544,16.95882839289485,1000
100000,13836,OBM_RR,3.0,5.530043287007115,2.495014575680841,-3.035028711326274,9.585432034762773,18.787245881302834,2.585980786145925,17.683373130084213,1000
100000,13836,OBM_RR,4.0,5.530043287007115,1.7391106145786503,-3.7909326724284647,5.153732271280404,19.519749065894743,1.8238465376600606,18.512926285250824,1000
100000,17012,OBM,0.0,5.530043287007115,4.474143321904216,-1.055899965102899,5.1624779369721825,6.272240195339515,,,1000
100000,17012,OBM_RR,2.0,5.530043287007115,2.708806653490641,-2.821236633516474,12.649971813406127,20.596697983888088,2.8670259310772512,18.592793530725693,1000
100000,17012,OBM_RR,3.0,5.530043287007115,1.8070132017104243,-3.7230300852966907,6.356884841642027,20.21148097282467,1.938868907066547,18.5993398325542,1000
100000,17012,OBM_RR,4.0,5.530043287007115,0.8832242373774013,-4.6468190496297135,3.2127370018771026,24.80245154487682,1.075231620649328,22.48150320672283,1000
100000,20000,OBM,0.0,5.530043287007115,4.31990854374721,-1.2101347432599052,5.711904613207882,7.170618805439391,,,1000
100000,20000,OBM_RR,2.0,5.530043287007115,2.252901531482962,-3.277141755524153,11.311324072248993,22.039670833976672,2.496565679776114,18.860010409122204,1000
100000,20000,OBM_RR,3.0,5.530043287007115,1.1758816555135796,-4.354161631493535,4.541826812731749,23.49600849908947,1.3871178497940209,20.8624715730498,1000
100000,20000,OBM_RR,4.0,5.530043287007115,0.04252878312932404,-5.487514503877791,1.8933723566535292,32.004294414566,0.4947041473011881,26.381046084144174,1000
