problem,iterate,estimator,b,lam,T,sigma_true,mean,var,mse,rel_bias,bias
1662057958,PR,OBM,1000,0.0,10000,1.6217304504020316,1.5718255026487826,0.3367208736442912,0.3358441687181027,-0.030772652595181502,-0.04990494775324894
1662057958,PR,OBM_RR,1000,2.0,10000,1.6217304504020316,1.32081246147703,1.2521376159533022,1.3301678758524362,-0.18555364046497563,-0.30091798892500154
1662057958,PR,OBM_RR,1000,3.0,10000,1.6217304504020316,1.0963199982008416,1.1333223745430452,1.3980452940798733,-0.3239813694507242,-0.52541045220119
432652533,PR,OBM,15,0.0,10000,1.961106853810149,0.8900625786960334,0.0043501840124559685,1.151442521427053,-0.5461427423157643,-1.0710442751141156
432652533,PR,OBM_RR,15,2.0,10000,1.961106853810149,1.6715389083940706,0.027903474639399777,0.11147403490549455,-0.1476553635277392,-0.28956794541607844
432652533,PR,OBM_RR,15,3.0,10000,1.961106853810149,1.7746575654530818,0.03987765195942795,0.07424221256869053,-0.09507349790493211,-0.1864492883570672
432652533,PR,OBM,63,0.0,10000,1.961106853810149,1.6068552323323693,0.03478222581369664,0.15992861487519594,-0.18063861272501278,-0.3542516214777798
432652533,PR,OBM_RR,63,2.0,10000,1.961106853810149,1.9156622098466765,0.12456857937125364,0.12538810924250782,-0.023172956575609416,-0.045444643963472586
432652533,PR,OBM_RR,63,3.0,10000,1.961106853810149,1.8820208690977198,0.16602212956902734,0.1706165012512717,-0.04032721855964988,-0.07908598471242922
432652533,PR,OBM,251,0.0,10000,1.961106853810149,1.7962273408477694,0.14103978890502072,0.16681464481068214,-0.08407472170220734,-0.16487951296237968
432652533,PR,OBM_RR,251,2.0,10000,1.961106853810149,1.721869383281311,0.5638481204474423,0.6154442065480045,-0.12199104299902577,-0.23923747052883804
432652533,PR,OBM_RR,251,3.0,10000,1.961106853810149,1.6672843041974632,0.6509397015609987,0.730761995206288,-0.14982485479658122,-0.29382254961268583
432652533,PR,OBM,1000,0.0,10000,1.961106853810149,1.6676169534615404,0.4927696524768619,0.5739782775587298,-0.14965523157414903,-0.29348990034860867
432652533,PR,OBM_RR,1000,2.0,10000,1.961106853810149,1.327734180173063,1.4005519513179374,1.787707375514949,-0.3229669369654865,-0.6333726736370859
432652533,PR,OBM_RR,1000,3.0,10000,1.961106853810149,1.1811781654112012,1.4935613127366525,2.0869144585969885,-0.3976982115399058,-0.7799286883989478
202244314,PR,OBM,15,0.0,10000,4.321050774280967,1.9261045207357856,0.013442119622362383,5.74907525579624,-0.5542508937409342,-2.3949462535451813
202244314,PR,OBM_RR,15,2.0,10000,4.321050774280967,3.6441687904011006,0.08696429412292335,0.5442638712828387,-0.1566475422850131,-0.6768819838798663
202244314,PR,OBM_RR,15,3.0,10000,4.321050774280967,3.8756108824028677,0.12866222037862138,0.32579229545120725,-0.10308601197870014,-0.4454398918780993
202244314,PR,OBM,63,0.0,10000,4.321050774280967,3.516691516473472,0.119799443595763,0.7655952647804285,-0.18614899472949203,-0.8043592578074952
202244314,PR,OBM_RR,63,2.0,10000,4.321050774280967,4.295335552607484,0.5677597242835782,0.5627433996664589,-0.0059511500828781936,-0.025715221673483057
202244314,PR,OBM_RR,63,3.0,10000,4.321050774280967,4.2925899960694025,0.7251844631103994,0.7187426343757033,-0.0065865410286229265,-0.028460778211564453
202244314,PR,OBM,251,0.0,10000,4.321050774280967,4.0863625477449625,0.595355172454599,0.6444801844046681,-0.05431276761034058,-0.2346882265360044
202244314,PR,OBM_RR,251,2.0,10000,4.321050774280967,4.081595618085961,2.8860957850256432,2.9145735990037616,-0.05541595521632159,-0.2394551561950058
202244314,PR,OBM_RR,251,3.0,10000,4.321050774280967,3.95285505290735,3.0203139690177534,3.125678918565415,-0.08520976507962592,-0.3681957213736169
202244314,PR,OBM,1000,0.0,10000,4.321050774280967,3.89627424660978,2.295878090086732,2.4533544076462555,-0.09830398897404083,-0.4247765276711868
202244314,PR,OBM_RR,1000,2.0,10000,4.321050774280967,3.099894091838174,7.460466317976874,8.877085297871796,-0.28260641826084454,-1.221156682442793
202244314,PR,OBM_RR,1000,3.0,10000,4.321050774280967,2.7137941706506443,7.988325558661158,10.491716092987824,-0.3719596661989638,-1.6072566036303226
1634535063,PR,OBM,22,0.0,30000,1.4231973693020508,0.7389925928010288,0.001002727388519238,0.4691288763014476,-0.48075185582767227,-0.684204776501022
1634535063,PR,OBM_RR,22,2.0,30000,1.4231973693020508,1.2900455559639437,0.006118851627619844,0.023787068506569784,-0.09355822053226953,-0.1331518133381071
1634535063,PR,OBM_RR,22,3.0,30000,1.4231973693020508,1.347910239613519,0.008617735749368314,0.01419971028861245,-0.05289999216725176,-0.0752871296885318
1634535063,PR,OBM,103,0.0,30000,1.4231973693020508,1.2476838766369132,0.007991679498947031,0.038716748811472856,-0.12332336782719817,-0.1755134926651376
1634535063,PR,OBM_RR,103,2.0,30000,1.4231973693020508,1.4187988838028003,0.02844602376428614,0.0281809102013304,-0.003090566069137368,-0.004398485499250482
1634535063,PR,OBM_RR,103,3.0,30000,1.4231973693020508,1.4150046509692944,0.041149829844794886,0.04080545218002682,-0.00575655809199124,-0.008192718332756366
1634535063,PR,OBM,485,0.0,30000,1.4231973693020508,1.382377926881045,0.04067569401153517,0.04193516395098165,-0.02868150497005486,-0.04081944242100577
1634535063,PR,OBM_RR,485,2.0,30000,1.4231973693020508,1.4012898270091885,0.19709204742352365,0.195601067358602,-0.015393186331988482,-0.021907542292862292
1634535063,PR,OBM_RR,485,3.0,30000,1.4231973693020508,1.3821643207157563,0.2544793760959346,0.25361829341126035,-0.028831593896507416,-0.04103304858629442
1634535063,PR,OBM,2279,0.0,30000,1.4231973693020508,1.3656155925156446,0.25048743762789266,0.2512982242694933,-0.0404594457721945,-0.05758177678640619
1634535063,PR,OBM_RR,2279,2.0,30000,1.4231973693020508,1.2752587480842414,0.8432164960846894,0.856670166771669,-0.10394807101868084,-0.14793862121780932
1634535063,PR,OBM_RR,2279,3.0,30000,1.4231973693020508,1.134678166126144,0.9837435773859514,1.057149472213352,-0.20272606554732409,-0.28851920317590674
2095133046,PR,OBM,22,0.0,30000,7.7579542758538205,3.593840661585942,0.02658432911935448,17.36616067835925,-0.5367540805478112,-4.164113614267878
2095133046,PR,OBM_RR,22,2.0,30000,7.7579542758538205,6.796269811283164,0.19188722859314186,1.114805365703762,-0.12396108953153324,-0.9616844645706566
2095133046,PR,OBM_RR,22,3.0,30000,7.7579542758538205,7.2240682479234115,0.2916106536850733,0.5737288379675324,-0.06881788793111324,-0.533886027930409
2095133046,PR,OBM,103,0.0,30000,7.7579542758538205,6.703356551679345,0.28764429392671037,1.3969442108214265,-0.13593760502776475,-1.0545977241744753
2095133046,PR,OBM_RR,103,2.0,30000,7.7579542758538205,7.972426050205116,1.06300247069879,1.0983705879851953,0.02764540325003287,0.2144717743512956
2095133046,PR,OBM_RR,103,3.0,30000,7.7579542758538205,7.951136103535117,1.4952240468749898,1.517591024952526,0.02490112996445004,0.19318182768129688
2095133046,PR,OBM,485,0.0,30000,7.7579542758538205,7.6178874844761495,1.3913417496052365,1.3970470381560196,-0.018054603881028364,-0.14006679137767097
