estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM,0.0,0.425,OBM,5,10000,1000000,-0.011723555053571212,0.011723555053571212,3.112322849339583,0.007210943015943827,0.575,-0.5632764449464287,0.0020929930165455566,0.003338743717214201
OBM,0.0,0.45,OBM,5,10000,1000000,-0.0652404622466118,0.0652404622466118,3.311407807718738,0.1529997226348484,0.55,-0.48475953775338826,0.04006198512250968,0.05211653262233804
OBM,0.0,0.475,OBM,5,10000,1000000,-0.1135845527028266,0.1135845527028266,3.963599818013536,0.33369987375833743,0.525,-0.41141544729717344,0.029502236837321096,0.031489887307144734
OBM,0.0,0.5,OBM,5,10000,1000000,-0.19948549523153858,0.19948549523153858,6.305523574911985,0.6370326476374145,0.5,-0.3005145047684614,0.012794954452205996,0.016857117066422806
OBM,0.0,0.525,OBM,5,10000,1000000,-0.2988694775153788,0.2988694775153788,13.597231523811004,0.861886860238366,0.475,-0.1761305224846212,0.05322725440863503,0.0653965056366573
OBM,0.0,0.55,OBM,5,10000,1000000,-0.3554760603069228,0.3554760603069228,23.014601340911636,0.9423549705536391,0.44999999999999996,-0.09452393969307715,0.015840127633535837,0.017831054655788534
OBM,0.0,0.575,OBM,5,10000,1000000,-0.4014730544647223,0.4014730544647223,39.74192591630428,0.988340589428081,0.42500000000000004,-0.023526945535277732,0.02415220542851098,0.03027009845655459
OBM,0.0,0.6,OBM,5,10000,1000000,-0.40541896407670747,0.40541896407670747,46.660635881310114,0.9954885262342263,0.4,0.005418964076707444,0.044668158850598584,0.05262101206610732
OBM,0.0,0.625,OBM,5,10000,1000000,-0.3905401800454126,0.3905401800454126,50.73953405429383,0.9978845952698501,0.375,0.015540180045412577,0.004073881840997802,0.0045294286522725566
OBM,0.0,0.65,OBM,5,10000,1000000,-0.36796090144213256,0.36796090144213256,52.395626619900405,0.9974964605917456,0.35,0.017960901442132582,0.0358541060526692,0.043687938216034866
OBM,0.0,0.675,OBM,5,10000,1000000,-0.3465702240715391,0.3465702240715391,50.633341849899885,0.9967436149222012,0.32499999999999996,0.021570224071539135,0.03304296266834683,0.039372642250456565
OBM,0.0,0.7,OBM,5,10000,1000000,-0.31194442532102873,0.31194442532102873,47.55959752964029,0.9943837020944747,0.30000000000000004,0.011944425321028684,0.0069734567962783465,0.008736329256222843
OBM,0.0,0.725,OBM,5,10000,1000000,-0.2755110094912478,0.2755110094912478,43.678275690701966,0.9934918137736999,0.275,0.0005110094912477714,0.04714269987692232,0.05681638198348153
OBM,0.0,0.75,OBM,5,10000,1000000,-0.2509084133243315,0.2509084133243315,40.95728270970322,0.9944914705426918,0.25,0.0009084133243315029,0.022018816818475676,0.02623308781406487
OBM_RR,2.0,0.15,OBM-LW(lambda=2),5,10000,1000000,0.1208387147803101,-0.1208387147803101,4.458527762156082,0.9973972002885215,0.6,-0.72083871478031,0.10697599982175825,0.22788685663767297
OBM_RR,2.0,0.175,OBM-LW(lambda=2),5,10000,1000000,0.11350870868686837,-0.11350870868686837,4.415680001157429,0.9122398535426414,0.7,-0.8135087086868683,0.021794417750468132,0.06467958531004617
OBM_RR,2.0,0.2,OBM-LW(lambda=2),5,10000,1000000,0.13181630710863107,-0.13181630710863107,3.0121765218400474,0.8569293084486977,0.8,-0.9318163071086312,0.032082485229694306,0.055051910490644874
OBM_RR,2.0,0.225,OBM-LW(lambda=2),5,10000,1000000,0.15554637049120026,-0.15554637049120026,1.7792907050049445,0.9020272542296482,0.775,-0.9305463704912003,0.014266631697787113,0.02545887215676478
OBM_RR,2.0,0.25,OBM-LW(lambda=2),5,10000,1000000,0.16593782901435633,-0.16593782901435633,1.1183083802761784,0.8135588519117891,0.75,-0.9159378290143563,0.018445702653383373,0.04262992197541174
OBM_RR,2.0,0.275,OBM-LW(lambda=2),5,10000,1000000,0.22996707519699025,-0.22996707519699025,0.35599889535705015,0.7975751980068229,0.725,-0.9549670751969902,0.038065356767348776,0.05540977621898399
OBM_RR,2.0,0.3,OBM-LW(lambda=2),5,10000,1000000,0.2114423034313224,-0.2114423034313224,0.25655736356228326,0.6440472108465906,0.7,-0.9114423034313224,0.012083859687952956,0.023201163678818436
OBM_RR,2.0,0.325,OBM-LW(lambda=2),5,10000,1000000,0.2615214179814737,-0.2615214179814737,0.07621369938794162,0.5047010952947786,0.675,-0.9365214179814738,0.04211418240208278,0.05922413249507562
OBM_RR,2.0,0.35,OBM-LW(lambda=2),5,10000,1000000,0.1621094293554302,-0.1621094293554302,0.12155505304577367,0.25126150601635655,0.65,-0.8121094293554303,0.025421341780731393,0.04556529984371811
OBM_RR,2.0,0.375,OBM-LW(lambda=2),5,10000,1000000,-0.01146987125736144,0.01146987125736144,0.3942070258578263,0.0013600284302573984,0.625,-0.6135301287426386,0.026249252344657005,0.0341192983723828
OBM_RR,2.0,0.4,OBM-LW(lambda=2),5,10000,1000000,-0.2248354388414425,0.2248354388414425,3.276070201237152,0.43798360358918487,0.6,-0.37516456115855745,0.04392993985798716,0.04654998906408755
OBM_RR,2.0,0.425,OBM-LW(lambda=2),5,10000,1000000,-0.5002327735632925,0.5002327735632925,69.67440043003288,0.980470957262463,0.575,-0.07476722643670741,0.0020929930165455566,0.003338743717214201
OBM_RR,2.0,0.45,OBM-LW(lambda=2),5,10000,1000000,-0.5480889766633185,0.5480889766633185,155.5458752280693,0.9985955361976859,0.55,-0.0019110233366815832,0.04006198512250968,0.05211653262233804
OBM_RR,2.0,0.475,OBM-LW(lambda=2),5,10000,1000000,-0.5266926954828045,0.5266926954828045,153.1958537259439,0.998431397601504,0.525,0.001692695482804485,0.029502236837321096,0.031489887307144734
OBM_RR,2.0,0.5,OBM-LW(lambda=2),5,10000,1000000,-0.500086891978791,0.500086891978791,159.61422308482392,0.9989784167959537,0.5,8.689197879097055e-05,0.012794954452205996,0.016857117066422806
OBM_RR,2.0,0.525,OBM-LW(lambda=2),5,10000,1000000,-0.4734582430386988,0.4734582430386988,165.330556857095,0.9986703099615238,0.475,-0.001541756961301155,0.05322725440863503,0.0653965056366573
OBM_RR,2.0,0.55,OBM-LW(lambda=2),5,10000,1000000,-0.45727256938552313,0.45727256938552313,172.07630850371805,0.9986531738189579,0.44999999999999996,0.0072725693855231754,0.015840127633535837,0.017831054655788534
OBM_RR,2.0,0.575,OBM-LW(lambda=2),5,10000,1000000,-0.4330102450631811,0.4330102450631811,180.89505678779264,0.9980659205202334,0.42500000000000004,0.008010245063181043,0.02415220542851098,0.03027009845655459
OBM_RR,2.0,0.6,OBM-LW(lambda=2),5,10000,1000000,-0.4183316264628659,0.4183316264628659,188.4023665243345,0.9972701586414906,0.4,0.018331626462865902,0.044668158850598584,0.05262101206610732
OBM_RR,2.0,0.625,OBM-LW(lambda=2),5,10000,1000000,-0.3828205950577193,0.3828205950577193,176.65513692658502,0.996494979027947,0.375,0.007820595057719315,0.004073881840997802,0.0045294286522725566
OBM_RR,2.0,0.65,OBM-LW(lambda=2),5,10000,1000000,-0.3476783599504446,0.3476783599504446,166.7499163498812,0.9943274782337747,0.35,-0.0023216400495553735,0.0358541060526692,0.043687938216034866
OBM_RR,2.0,0.675,OBM-LW(lambda=2),5,10000,1000000,-0.32498222939325966,0.32498222939325966,160.98062265635858,0.9951989295569061,0.32499999999999996,-1.777060674029718e-05,0.03304296266834683,0.039372642250456565
OBM_RR,2.0,0.7,OBM-LW(lambda=2),5,10000,1000000,-0.296518759256814,0.296518759256814,162.66201780296262,0.9981951493850083,0.30000000000000004,-0.003481240743186065,0.0069734567962783465,0.008736329256222843
OBM_RR,2.0,0.725,OBM-LW(lambda=2),5,10000,1000000,-0.27400739724760703,0.27400739724760703,171.36139834373458,0.9969516287298712,0.275,-0.0009926027523929903,0.04714269987692232,0.05681638198348153
OBM_RR,2.0,0.75,OBM-LW(lambda=2),5,10000,1000000,-0.2551638683859105,0.2551638683859105,168.3061613435442,0.9961165933297345,0.25,0.005163868385910486,0.022018816818475676,0.02623308781406487
OBM_RR,3.0,0.15,OBM-LW(lambda=3),5,10000,1000000,0.15836839598077662,-0.15836839598077662,2.4517159759879488,0.9975884498065328,0.6,-0.7583683959807765,0.10697599982175825,0.22788685663767297
OBM_RR,3.0,0.175,OBM-LW(lambda=3),5,10000,1000000,0.14901036479808713,-0.14901036479808713,2.4193994484089996,0.9135431888357725,0.7,-0.8490103647980871,0.021794417750468132,0.06467958531004617
OBM_RR,3.0,0.2,OBM-LW(lambda=3),5,10000,1000000,0.17253004340047365,-0.17253004340047365,1.4822163728077025,0.8596761893377276,0.8,-0.9725300434004737,0.032082485229694306,0.055051910490644874
OBM_RR,3.0,0.225,OBM-LW(lambda=3),5,10000,1000000,0.2024588374910599,-0.2024588374910599,0.7630346224107879,0.9029436110198769,0.775,-0.9774588374910599,0.014266631697787113,0.02545887215676478
OBM_RR,3.0,0.25,OBM-LW(lambda=3),5,10000,1000000,0.21457629612034732,-0.21457629612034732,0.4326256049877754,0.8167356864130284,0.75,-0.9645762961203473,0.018445702653383373,0.04262992197541174
