estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,300000,12,24.539110951887828,-4.953680854679471,0.0001570727638669,5.530043287007115,0.2,12.457309396155175,0.1970343901219439,0.0374009009396674
OBM,0.0,300000,17,22.50163623921903,-4.7435561519221885,0.0003115323905208,5.530043287007115,0.225,17.074668562300275,0.22465248880842104,0.004382650512410136
OBM,0.0,300000,24,20.017159729071057,-4.473986128313362,0.0006083596970893,5.530043287007115,0.25,23.40347319320716,0.2519957432971328,0.025169391938361145
OBM,0.0,300000,31,17.89001669376766,-4.229542071190228,0.0009913879561636,5.530043287007115,0.275,32.07807844156349,0.2722893331143909,0.034185677765396966
OBM,0.0,300000,45,14.46756230933687,-3.803364961919584,0.0019789248833797,5.530043287007115,0.3,43.967966122300474,0.30183967761363,0.023201163678818436
OBM,0.0,300000,57,12.199910188952598,-3.4924051478215152,0.0030189882459149,5.530043287007115,0.325,60.26489549408122,0.320583528100541,0.05569850209790989
OBM,0.0,300000,81,8.911722653995767,-2.984329205921553,0.0055064333738765,5.530043287007115,0.35,82.60235687978427,0.34844673508626434,0.019589059100979238
OBM,0.0,300000,117,5.876116508081027,-2.422026730406427,0.0099112846816794,5.530043287007115,0.375,113.21930132219957,0.3776045417953813,0.032847277183379285
OBM,0.0,300000,149,4.240119374900152,-2.055701960048988,0.0142206769149985,5.530043287007115,0.4,155.184557391536,0.3967752706843269,0.04066879550987638
OBM,0.0,300000,213,2.429197107178656,-1.5511175186766932,0.0232509262047514,5.530043287007115,0.425,212.7044291173785,0.42511010714476366,0.0013886204131314062
OBM,0.0,300000,305,1.2904437607492434,-1.119900701479728,0.036296426596622,5.530043287007115,0.45,291.5443065124053,0.4535776594695713,0.0451197874701593
OBM,0.0,300000,388,0.8282134695599177,-0.8832378558667893,0.048144479923692,5.530043287007115,0.475,399.60654798069135,0.47266284699528943,0.02947509335493688
OBM,0.0,300000,556,0.4409165262805762,-0.6069069200763284,0.0726410508530848,5.530043287007115,0.5,547.7225575051662,0.5011893408816928,0.014999417431413222
OBM,0.0,300000,797,0.2749709353559073,-0.4093680761197955,0.1074782788422532,5.530043287007115,0.525,750.7384488967276,0.529741480325255,0.05979735813008719
OBM,0.0,300000,1012,0.2365289846849291,-0.3141771219209603,0.1379366679696992,5.530043287007115,0.55,1029.0031165031005,0.5486788356044157,0.016661914653675794
OBM,0.0,300000,1450,0.2443149991782633,-0.2130223927259802,0.1991023780239146,5.530043287007115,0.575,1410.4078661871597,0.5771951825077468,0.027684627072576358
OBM,0.0,300000,1842,0.2796094116403708,-0.1642346216247512,0.2528471066223309,5.530043287007115,0.6,1933.1820449317622,0.5961689497100533,0.048315435367750396
OBM,0.0,300000,2639,0.3693053872370395,-0.1088305280465853,0.3577594362656957,5.530043287007115,0.625,2649.7248834477414,0.6246784088031242,0.004055759520637158
OBM,0.0,300000,3779,0.5179119178636659,-0.0704309343440003,0.5133792173655685,5.530043287007115,0.65,3631.857628912531,0.6531491134753263,0.03971516348456896
OBM,0.0,300000,4802,0.6583124426683118,-0.0572221311203815,0.6555843907039401,5.530043287007115,0.675,4978.022404925004,0.6721454546124407,0.03600020692468025
OBM,0.0,300000,6877,0.9755412811992036,-0.0536974796525528,0.9734690861165978,5.530043287007115,0.7,6823.149362095244,0.7006233468056448,0.007861361772999929
OBM,0.0,300000,9850,1.4149917383136634,-0.0748086111160724,1.4105708857546764,5.530043287007115,0.725,9352.18113349616,0.7291122552849177,0.05186186277833974
OBM,0.0,300000,12515,1.7961645825723902,-0.1003913924860802,1.7875757973849171,5.530043287007115,0.75,12818.610191887023,0.7480993506239187,0.02397011136287902
OBM,0.0,1000000,9,27.95207697308844,-5.286971123439224,1.3324111662296042e-05,5.530043287007115,0.15,7.943282347242814,0.1590404182398875,0.12489799364157832
OBM,0.0,1000000,11,27.41648318173297,-5.236073273621486,1.987155939025497e-05,5.530043287007115,0.175,11.220184543019633,0.17356544752637085,0.01981907484537731
OBM,0.0,1000000,15,26.39208207483825,-5.137318881795886,3.681225859935382e-05,5.530043287007115,0.2,15.848931924611136,0.19601520984261356,0.055051910490644874
OBM,0.0,1000000,22,24.735900802142908,-4.973512073243627,7.852488019324623e-05,5.530043287007115,0.225,22.387211385683397,0.22373711347036773,0.017447422183645853
OBM,0.0,1000000,33,22.43486278117634,-4.736527128556229,0.0001736863658616,5.530043287007115,0.25,31.622776601683793,0.2530856566463146,0.04262992197541174
OBM,0.0,1000000,43,20.609380009893265,-4.539723657048113,0.0002893686715236,5.530043287007115,0.275,44.668359215096324,0.27224474259659776,0.03806528774661319
OBM,0.0,1000000,64,17.419789234278525,-4.1736288684833385,0.000611812284586,5.530043287007115,0.3,63.095734448019314,0.3010299956639812,0.01422991597038981
OBM,0.0,1000000,84,14.999393189583406,-3.872775552989524,0.0010035420351188,5.530043287007115,0.325,89.12509381337456,0.3207132143436469,0.05922413249507562
OBM,0.0,1000000,124,11.393550870442796,-3.3751402588245183,0.0019807543333697,5.530043287007115,0.35,125.89254117941668,0.34890361419370586,0.015147129682458776
OBM,0.0,1000000,184,7.899706192727546,-2.8099687147002466,0.0037851694412583,5.530043287007115,0.375,177.82794100389228,0.3774696371682561,0.0341192983723828
OBM,0.0,1000000,240,5.831394804968467,-2.413643602860742,0.0057241334490885,5.530043287007115,0.4,251.1886431509581,0.396701873618601,0.04556529984371869
OBM,0.0,1000000,356,3.39471953199188,-1.839704503532488,0.0102153844945744,5.530043287007115,0.425,354.8133892335754,0.42524166632881255,0.003338743717214201
OBM,0.0,1000000,528,1.7833594644053126,-1.3289246627492537,0.0173331494332902,5.530043287007115,0.45,501.18723362727235,0.45377232042230203,0.05211653262233804
OBM,0.0,1000000,686,1.113854710060474,-1.0439671976036466,0.0240072063933904,5.530043287007115,0.475,707.9457843841377,0.47272068595112526,0.031489887307144734
OBM,0.0,1000000,1017,0.5361385915746831,-0.7062311708487394,0.0374072976443381,5.530043287007115,0.5,1000.0,0.5012201588204575,0.016857117066422806
OBM,0.0,1000000,1508,0.2781381246093004,-0.4704089765830996,0.0569009368066802,5.530043287007115,0.525,1412.5375446227547,0.5297335569222926,0.0653965056366573
OBM,0.0,1000000,1960,0.2020311309116147,-0.357377190210765,0.0743746537067624,5.530043287007115,0.55,1995.262314968881,0.5487093452260794,0.017831054655788534
OBM,0.0,1000000,2905,0.1677872015472204,-0.2364027443242884,0.1119942725836519,5.530043287007115,0.575,2818.382931264452,0.5771910227877249,0.03027009845655459
OBM,0.0,1000000,3777,0.179690870181277,-0.1817207443577304,0.1467907668904246,5.530043287007115,0.6,3981.0717055349714,0.5961911641379208,0.05262101206610732
OBM,0.0,1000000,5598,0.2350926865352084,-0.1279262660603848,0.2189099819720326,5.530043287007115,0.625,5623.413251903491,0.6246721490216905,0.0045294286522725566
OBM,0.0,1000000,8298,0.3259228809949694,-0.0998877510876257,0.3162088255322361,5.530043287007115,0.65,7943.282347242817,0.6531622384154924,0.043687938216034866
OBM,0.0,1000000,10787,0.4212005540059007,-0.0931017880706761,0.4128766749597434,5.530043287007115,0.675,11220.18454301964,0.6721501131221128,0.039372642250456565
OBM,0.0,1000000,15988,0.620966120911314,-0.0976622139942628,0.6119381613368335,5.530043287007115,0.7,15848.931924611124,0.7006323565980113,0.008736329256222843
OBM,0.0,1000000,23696,0.9372180975648984,-0.1310309385082151,0.92081633766661,5.530043287007115,0.725,22387.21138568339,0.7291125068628556,0.05681638198348153
OBM,0.0,1000000,30804,1.2393344508788162,-0.1668238016260206,1.212514699005696,5.530043287007115,0.75,31622.776601683792,0.7481011857865114,0.02623308781406487
OBM_RR,2.0,10000,5,13.465972688481246,-3.6670056658275474,0.0190580169507052,5.530043287007115,0.15,3.9810717055349722,0.1747425010840047,0.22788685663767297
OBM_RR,2.0,10000,5,13.465972688481246,-3.6670056658275474,0.0190580169507052,5.530043287007115,0.175,5.011872336272722,0.1747425010840047,0.002371652661731426
