T,eta,b_n,estimator,T_eff,n_problems,sigma_true_median,l2_median_x1e3,width_median_x1e3,coverage_median_pct,coverage_mean_pct,rel_bias_raw_median,rel_bias_raw_mean,rel_bias_used_median,mse_raw_mean,mse_used_mean,negative_rate_mean,clamped_rate_mean,diverged_total,width_ratio_to_oracle
1000000,0.4,251,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.102019500591635,93.0,93.27,-0.12107366348587859,-0.12005437711476417,-0.12107366348587859,0.12004404511675837,0.12004404511675837,0.0,0.0,0,0.9396846396687231
1000000,0.4,251,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.440307419196385,95.0,94.82,0.0018944033793545571,0.0025502860409420667,0.0018944033793545571,0.008014089805095898,0.008014089805095898,0.0,0.0,0,1.0019901563100304
1000000,0.5,1000,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.357217396990707,95.0,94.46,-0.028336605730914836,-0.028826113737873926,-0.028336605730914836,0.015453872259888767,0.015453872259888767,0.0,0.0,0,0.9866867225290826
1000000,0.5,1000,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.43222713427089,95.0,94.72,-0.0008523112759606423,-0.0005735663213952118,-0.0008523112759606423,0.03434929879296414,0.03434929879296414,0.0,0.0,0,1.0005019378452138
1000000,0.6,3981,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.416808398036517,95.0,94.6,-0.009508047492664488,-0.008748269205710127,-0.009508047492664488,0.03517505981035836,0.03517505981035836,0.0,0.0,0,0.9976621310587319
1000000,0.6,3981,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.391139513733224,95.0,94.41,-0.011052765245241796,-0.009395161524477492,-0.011052765245241796,0.13820542038212077,0.13820542038212077,0.0,0.0,0,0.9929344626728228
1000000,0.7,15848,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.389966898971116,94.0,94.38,-0.01551851435698555,-0.015436842579303904,-0.01551851435698555,0.13642135960651922,0.13642135960651922,0.0,0.0,0,0.9927184917068016
1000000,0.7,15848,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,5.217599460785367,93.0,93.15,-0.04480845907462624,-0.04280539203831886,-0.04480845907462624,0.5254804931280058,0.5254804931280058,0.0,0.0,0,0.9609720364015223
1000000,0.8,63095,OBM,999000,100,1.9166471869362713,2.9734129221115366,5.19916693394538,93.0,92.94,-0.05716599377938522,-0.058556357416321994,-0.05716599377938522,0.5305253966268583,0.5305253966268583,0.0,0.0,0,0.957577152799096
1000000,0.8,63095,OBM_RR,999000,100,1.9166471869362713,2.9734129221115366,4.5743365885251395,84.0,84.06,-0.18844717517288834,-0.18478804813374697,-0.1870851877782606,2.114151430853523,2.0919731211917236,0.0174,0.0174,0,0.8424965503195845
1000000,,0,ORACLE,999000,100,1.9166471869362713,2.9734129221115366,5.42950186180579,95.0,94.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
