estimator,lam,eta,label,n_T,T_min,T_max,theory_abs_bias_rate,theory_bias_sq_rate,theory_var_rate,mean_abs_log_b_error,max_abs_log_b_error,abs_bias_kappa,abs_bias_rate,abs_bias_C,abs_bias_r2,bias_sq_kappa,bias_sq_rate,bias_sq_C,bias_sq_r2,var_kappa,var_rate,var_C,var_r2,mse_kappa,mse_rate,mse_C,mse_r2,bias_sq_plus_var_kappa,bias_sq_plus_var_rate,bias_sq_plus_var_C,bias_sq_plus_var_r2,abs_bias_rate_minus_theory,bias_sq_rate_minus_theory,var_rate_minus_theory
OBM_RR,2.0,0.425,OBM-LW(lambda=2),9,10000,1000000,0.85,1.7,0.575,0.031278758730187414,0.041911018503453766,0.3725016764849202,-0.3725016764849202,0.00033075201389518136,0.16061529172911637,0.7450033529698404,-0.7450033529698404,1.0939689469571824e-07,0.16061529172911637,-0.5842556804272212,0.5842556804272212,168.692259123768,0.9980513821620276,-0.5311259462436793,0.5311259462436793,96.86311705100688,0.9903041353010936,-0.5311828667222173,0.5311828667222173,97.0417710618561,0.9903255580085422,-1.2225016764849201,-2.4450033529698403,0.009255680427221247
OBM_RR,2.0,0.45,OBM-LW(lambda=2),9,10000,1000000,0.9,1.8,0.55,0.03755306121774504,0.04641851150770025,0.04583610190062002,-0.04583610190062002,0.01356360851890689,0.05235810108303274,0.09167220380124004,-0.09167220380124004,0.00018397147605416357,0.05235810108303274,-0.5506659058460438,0.5506659058460438,158.51396095751346,0.9975019807834657,-0.5489438821133547,0.5489438821133547,155.71187690896733,0.9975668150648177,-0.5489460253696143,0.5489460253696143,155.9099777354767,0.9975667396378417,-0.9458361019006201,-1.8916722038012401,0.0006659058460437572
OBM_RR,2.0,0.475,OBM-LW(lambda=2),9,10000,1000000,0.95,1.9,0.525,0.03961769954432712,0.04967351980006198,0.0637419598491853,-0.0637419598491853,0.009417515244251839,0.022970001162552323,0.1274839196983706,-0.1274839196983706,8.868959337571575e-05,0.0229700011625521,-0.51656196433093,0.51656196433093,145.79840259084352,0.9976330167703409,-0.51493954568625,0.51493954568625,143.42514772303812,0.9975915300107454,-0.5149415545684095,0.5149415545684095,143.60734873876393,0.9975916712397486,-1.0137419598491852,-2.0274839196983705,-0.008438035669069976
OBM_RR,2.0,0.5,OBM-LW(lambda=2),9,10000,1000000,1.0,2.0,0.5,0.04345278770828696,0.05354076692802976,0.006558763965949283,-0.006558763965949283,0.012081610003112205,3.4810986648814435e-05,0.013117527931898566,-0.013117527931898566,0.0001459653002673009,3.4810986648814435e-05,-0.4872194827501812,0.4872194827501812,140.70857466753648,0.9979018666164634,-0.48565598089357,0.48565598089357,138.49111485768515,0.9979128507659533,-0.48565791751212417,0.48565791751212417,138.6669583288506,0.9979129300258042,-1.0065587639659492,-2.0131175279318985,-0.012780517249818824
OBM_RR,2.0,0.525,OBM-LW(lambda=2),9,10000,1000000,1.05,2.1,0.475,0.046430645018993175,0.058075341488384086,-0.09548314939004472,0.09548314939004472,0.07858239145157474,0.020151194811835138,-0.19096629878008944,0.19096629878008944,0.006175192246248525,0.020151194811835138,-0.4553665385892382,0.4553665385892382,132.59368561868376,0.9968416372870794,-0.45506515360029726,0.45506515360029726,132.3961654028875,0.9967488947081911,-0.45506552565397157,0.45506552565397157,132.5619026837162,0.9967490592753774,-0.9545168506099553,-1.9090337012199106,-0.019633461410761777
OBM_RR,2.0,0.55,OBM-LW(lambda=2),9,10000,1000000,1.1,2.2,0.44999999999999996,0.046276989938420506,0.05472793937884181,-0.5585873569482824,0.5585873569482824,17.86376236108545,0.26222111223306377,-1.1171747138965649,1.1171747138965649,319.11400569333324,0.26222111223306377,-0.448345347677646,0.448345347677646,151.26625443959435,0.9922087672567099,-0.44895320463453714,0.44895320463453714,152.72268973264988,0.9920536918152724,-0.4489524479200255,0.4489524479200255,152.9117695845504,0.9920539219887877,-0.5414126430517177,-1.0828252861034353,-0.0016546523223539555
OBM_RR,2.0,0.575,OBM-LW(lambda=2),9,10000,1000000,1.15,2.3,0.42500000000000004,0.043302467743422626,0.050719701284848255,-0.44051378221204823,0.44051378221204823,9.422554304208798,0.5666272911414296,-0.8810275644240965,0.8810275644240965,88.78452961576366,0.5666272911414295,-0.418327699987313,0.418327699987313,141.82573141161677,0.9943131280382028,-0.4197339852023749,0.4197339852023749,144.76943164507088,0.9940592632264734,-0.4197322373013749,0.4197322373013749,144.94669263798912,0.9940596364657116,-0.7094862177879517,-1.4189724355759035,-0.006672300012687038
OBM_RR,2.0,0.6,OBM-LW(lambda=2),9,10000,1000000,1.2,2.4,0.4,0.039359813900339734,0.04681318159093857,-0.6471126050738883,0.6471126050738883,127.69242298109296,0.5852341361979969,-1.2942252101477767,1.2942252101477767,16305.354886782357,0.5852341361979969,-0.3984118225557648,0.3984118225557648,148.82016050792453,0.9945956121626213,-0.40079574263546985,0.40079574263546985,154.1438139769855,0.9949920132374116,-0.4007927867516901,0.4007927867516901,154.32976911581994,0.9949916944255517,-0.5528873949261116,-1.1057747898522232,-0.0015881774442352281
OBM_RR,2.0,0.625,OBM-LW(lambda=2),9,10000,1000000,1.25,2.5,0.375,0.036198187364961394,0.042764561197416714,-0.5248854519440844,0.5248854519440844,49.087164867451,0.6450804459516742,-1.0497709038881688,1.0497709038881688,2409.5497547243153,0.6450804459516742,-0.37085906209777825,0.37085906209777825,143.27728568316763,0.9912911789201438,-0.37532630922405363,0.37532630922405363,152.79847933058502,0.9924112387102407,-0.3753207919036434,0.3753207919036434,152.97732254382188,0.9924102131955242,-0.7251145480559156,-1.4502290961118312,-0.004140937902221753
OBM_RR,2.0,0.65,OBM-LW(lambda=2),9,10000,1000000,1.3,2.6,0.35,0.03294214965673513,0.03892898051621227,-0.5256031662261709,0.5256031662261709,71.68112047541756,0.5867819418671176,-1.0512063324523417,1.0512063324523417,5138.183032611326,0.5867819418671176,-0.33968811559949935,0.33968811559949935,135.11879179356902,0.9873627582524375,-0.3478775471027833,0.3478775471027833,151.69265310927744,0.9893181352734975,-0.3478675170339958,0.3478675170339958,151.86074170981425,0.9893165304731558,-0.7743968337738292,-1.5487936675476583,-0.010311884400500626
OBM_RR,2.0,0.675,OBM-LW(lambda=2),9,10000,1000000,1.35,2.7,0.32499999999999996,0.029343374266432933,0.03493271265542623,-0.45366218167690625,0.45366218167690625,52.016080395358706,0.6967971887013646,-0.9073243633538125,0.9073243633538125,2705.67261969642,0.6967971887013646,-0.3045952153530922,0.3045952153530922,121.57765335602589,0.9817128793291271,-0.3182814718471517,0.3182814718471517,147.39136704176536,0.9864794448943295,-0.3182649401530386,0.3182649401530386,147.54125279244096,0.9864756462893804,-0.8963378183230939,-1.7926756366461878,-0.02040478464690776
OBM_RR,2.0,0.7,OBM-LW(lambda=2),9,10000,1000000,1.4,2.8,0.30000000000000004,0.026008593758343412,0.031075001109195748,-0.3869968497768928,0.3869968497768928,37.22960121237061,0.7083891654850123,-0.7739936995537854,0.7739936995537854,1386.0432064321433,0.7083891654850121,-0.2805616064720895,0.2805616064720895,120.94985483679693,0.9769308770475512,-0.29972563425350685,0.29972563425350685,159.25449843638594,0.9871141533097124,-0.2997029370422631,0.2997029370422631,159.40147231624042,0.9871063226875144,-1.0130031502231072,-2.0260063004462143,-0.019438393527910547
