estimator,lam,T,b,bias,var,mse_selected,eta,target_b,eta_actual,log_b_error,abs_bias,bias_sq,bias_sq_plus_var
OBM,0.0,10000,165,-0.6116907208491469,0.644504383752643,1.0178642912459008,0.55,158.48931924611142,0.5543709860534765,0.040258269313679595,0.6116907208491469,0.37416553797294894,1.018669921725592
OBM,0.0,10000,192,-0.5365946459498172,0.7558594028144178,1.0428483926229095,0.575,199.52623149688787,0.5708253071758873,0.03845034185852311,0.5365946459498172,0.2879338140620097,1.0437932168764275
OBM,0.0,10000,243,-0.4462051590616065,0.96906548748825,1.1669531996020837,0.6,251.18864315095797,0.5964015683995779,0.03314277984516098,0.4462051590616065,0.19909904397319358,1.1681645314614437
OBM,0.0,10000,307,-0.3816209407522084,1.2415453610554108,1.3856279717746924,0.625,316.22776601683796,0.6217845938692965,0.02961498489791709,0.3816209407522084,0.14563454242060056,1.3871799034760113
OBM,0.0,10000,387,-0.3407873539412565,1.5801430784694397,1.6943039202276364,0.65,398.1071705534973,0.6469277412547279,0.02829654875473716,0.3407873539412565,0.11613602060628321,1.6962790990757228
OBM,0.0,10000,489,-0.3236685628660476,1.9807453309315572,2.083030737855666,0.675,501.18723362727246,0.6723272147809051,0.02461726160905168,0.3236685628660476,0.10476133858777262,2.08550666951933
OBM,0.0,10000,618,-0.3460821088261703,2.427073686772104,2.5438126707132085,0.7,630.957344480193,0.6977471187722039,0.02074980292563674,0.3460821088261703,0.11977282604956918,2.5468465128216735
OBM,0.0,10000,780,-0.4034424212364751,2.93316166303392,3.0922609982082765,0.725,794.3282347242813,0.7230236506726201,0.01820284999909485,0.4034424212364751,0.1627657872531494,3.0959274502870695
OBM,0.0,10000,984,-0.5068041251715716,3.532247131923676,3.784682244299693,0.75,1000.0,0.7482487746078353,0.016129381929883644,0.5068041251715716,0.256850421290922,3.789097553214598
OBM,0.0,20000,5,-4.898333617309802,0.0009483210625965,23.994619362128603,0.15,4.417275630574674,0.1625122366132473,0.12391477955368131,4.898333617309802,23.993672226467336,23.994620547529934
OBM,0.0,20000,6,-4.784579154288784,0.0013609132814472,22.89355689579462,0.175,5.6582254690844485,0.18092207010137693,0.05864914753423278,4.784579154288784,22.89219768365478,22.893558596936227
OBM,0.0,20000,7,-4.674487845253513,0.0018450381993624,21.852679347324443,0.2,7.247796636776956,0.19648736253088905,0.0347873614519124,4.674487845253513,21.85083661542283,21.85268165362219
OBM,0.0,20000,9,-4.464750774991735,0.0030216373857571,19.93701734312832,0.225,9.28392768635557,0.2218637187839495,0.031060121984409494,4.464750774991735,19.9339994827893,19.937021120175057
OBM,0.0,20000,12,-4.174351263703698,0.0052831578647818,17.43048502670211,0.25,11.89207115002721,0.2509122808107791,0.009034761653968382,4.174351263703698,17.425208472784657,17.43049163064944
OBM,0.0,20000,15,-3.9102318689785456,0.0080970444189793,15.298000192288908,0.275,15.232923070389067,0.273444096005222,0.015408875845225467,3.9102318689785456,15.28991326917545,15.29801031359443
OBM,0.0,20000,19,-3.594181039552862,0.0126166394558676,12.930738213737836,0.3,19.51232399646889,0.29731334174418345,0.02660728659439795,3.594181039552862,12.918137345081293,12.93075398453716
OBM,0.0,20000,25,-3.1861764269266084,0.0208024022261118,10.172496622726136,0.325,24.9939414768837,0.3250244732264946,0.00024237029395886872,3.1861764269266084,10.151720223502808,10.17252262572892
